restaurant;address1;address2
Barocco Cafe;110 9th Ave;Btwn 17th & 18th St
Barocco Kitchen;42 Union Sq E;Btwn 16th & 17th St
Barocco Kitchen (CLOSED);42 Union Sq E;
Barolo;398 W Broadway;Btwn Spring & Broome St
Barrio Chino;253 Broome St;Btwn Orchard & Ludlow St
Barrow Street Ale House;15 Barrow St;Btwn W 4th & 7th Ave S
Basera;745 9th Ave;Btwn 50th & 51st St
Basera745;9th Ave;
Basilica;676 9th Ave;Btwn 46th & 47th St
Basso;56234 W 56th St;At Bway
Basso5623;4 W 56th St;
Basta Pasta;37 W 17th St;Btwn 5th & 6th Ave
Batch;150B W 10th St;At Waverly Pl
Batch150B W;10th St;
Baton Rouge;458 W 145th St;Btwn Amsterdam & Convent Ave
Baton Rouge (CLOSED);458 W 145th St;
Battery Gardens;17 State St;At Pearl St
Bawarchi;1149 1st Ave;At 63rd St
Bay Leaf;49 W 56th St;Btwn 5th & 6th Ave
Bayan Cafe;212 E 45th St;Btwn 2nd & 3rd Ave
Bayard St;1 Btwn Mott & Elizabeth St;
Bayard St;0;Btwn Mott & Elizabeth St
Bayard St;0 Btwn Mott & Elizabeth St;
Bayard St;;
Bayard's Ale House;533 Hudson St;At Charles St
Beach Cafe;1326 2nd Ave;At 70th St
Beacon;25 W 56th St;Btwn 5th & 6th Ave
Beacon25 W;56th St;
Beanocchio;1431 York Ave;At 76th St
Beard Papa's;5 Carmine St;At 6th Ave
Beard Papa's;740 Broadway;At Astor Pl
Beard Papa's;2167 Broadway;Btwn 76th & 77th St
Becco;355 W 46th St;Btwn 8th & 9th Ave
Becco355 W;46th St;
Beckett's;81 Pearl St;Btwn Broad St & Hanover Pl
Becky's;1156 1st Ave;Btwn 63rd & 64th St
Becky's11;56 1st Ave;
Beer Bar at Cafe Centro;200 Park Ave;At 45th St & Vanderbilt Ave
Beijing Wok;1324 2nd Ave;Btwn 69th & 70th St
Belcourt;84 E 4th St;At 2nd Ave
Bella Blu;967 Lexington Ave;Btwn 70th & 71st St
Bella Cucina;1293 Lexington Ave;At 87th St
Bella Luna;584 Columbus Ave;Btwn 88th & 89th St
Bella Luna;226 E 45th St;Btwn 2nd & 3rd Ave
Bella Napoli;150 W 49th St;Btwn 6th & 7th Ave
Bella Napoli;257 7th Ave;Btwn 24th & 25th St
Bella Napoli;130 Madison Ave;Btwn 30th & 31st St
Bella Vita;211 W 43rd St;Btwn Bway & 8th Ave
Bella Vita;158 W 58th St;Btwn 6th & 7th Ave
Bellavitae;24 Minetta Ln;Btwn 6th Ave & MacDougal St
Belle de Jour;259 Front St;Btwn Peck Slip & Dover St
Bellini;483 Columbus Ave;Btwn 83rd & 84th St
Bellini48;3 Columbus Ave;
Bello;863 9th Ave;At 56th St
Bello Giardino;71 W 71st St;Btwn CPW & Columbus Ave
Bello Sguardo;410 Amsterdam Ave;Btwn 79th & 80th St
Bello's;130 Saint Marks Pl;Btwn 1st Ave & Ave A
Bello's13;0 Saint Marks Pl;
Bello863;9th Ave;
Belly Delly Deli;1625 Broadway;Btwn 49th & 50th St
Belly Delly Deli (CLOSED);1625 Broadway;
Belmont Lounge;117 E 15th St;Btwn Irving Pl & Union Sq E
Belmora;139 E 57th St;At Lexington Ave
Belmora13;9 E 57th St;
Ben & Jack's Steakhouse;219 E 44th St;Btwn 2nd & 3rd Ave
Ben Ash Delicatessen;857 7th Ave;At 55th St
Ben Benson's Steak House;123 W 52nd St;Btwn 6th & 7th Ave
Ben's Kosher Delicatessen;209 W 38th St;At 7th Ave
Ben's Pizza;123 Macdougal St;At W 3rd St
Bengal Cafe;1028 Amsterdam Ave;Btwn 110th & 111th St
Bengal Curry & Kabab;65 W Broadway;Btwn Murray & Warren St
Benihana;47 W 56th St;Btwn 5th & 6th Ave
Benito II;163 Mulberry St;Btwn Grand & Broome St
Benito One;174 Mulberry St;Btwn Broome & Grand St
Benjamin Restaurant & Bar;603 2nd Ave;At 33rd St
Benjamin Steakhouse;52 E 41st St;Btwn Madison & Park Ave
Bennie's Thai Cafe;88 Fulton St;At Gold St
Benny's Burritos;93 Avenue A;At 6th St
Benny's Burritos;112 Greenwich Ave;Btwn Jane & W 13th St
Benny's Lung Sheng Restaurant;906 Columbus Ave;Btwn 104th & 105th St
Benoit;66 W 55th St;Btwn 5th & 6th Ave
Benoit66 W;55th St;
Bentley Rooftop Restaurant;500 E 62nd St;At York Ave
Benvenuto;950 Broadway;At 23rd St
Beppe;45 E 22nd St;Btwn Bway & Park Ave S
Beppe45 E;22nd St;
Bereket;187 E Houston St;At Orchard St
Bereket18;7 E Houston St;
Berger's Delicatessen;2 E 39th St;Btwn Madison & 5th Ave
Berry Bistro;430 E 14th St;Btwn 1st Ave & Ave A
Berrywild;427 3rd Ave;Btwn 29th & 30th St
Bespoke Chocolates;6 Extra Pl;Btwn 1st & 2nd St
Best Burgers and Shakes;416 W 46th St;Btwn 9th & 10th Ave
Best Of The West;371 W 34th St;Corner of 9th Ave
Best Pizza on;1st1038 1st Ave;Btwn 56th & 57th St
Best Taste;3609 Broadway;Btwn 148th & 149th St
Best Wingers Express;711 2nd Ave;Btwn 38th & 39th St
Better Burger NYC;561 3rd Ave;At 37th St
Better Burger NYC;587 9th Ave;At 42nd St
Better Burger NYC;178 8th Ave;At 19th St
Bettola;412 Amsterdam Ave;Btwn 79th & 80th St
Bettola41;2 Amsterdam Ave;
Beyoglu;1431 3rd Ave;At 81st St
Beyoglu14;31 3rd Ave;
Beyond Thai Kitchen;133 W 3rd St;Btwn 6th Ave & MacDougal St
Bianca;5 Bleecker St;At Bowery
Bice Ristorante;7 E 54th St;Btwn Madison & 5th Ave
Biddy Early's;43 Murray St;Btwn Church St & W Bway
Big Apple Cafe & Deli;324 W 42nd St;Btwn 8th & 9th Ave
Big Arc Chicken;233 1st Ave;Btwn 13th & 14th St
Big Daddy's;1596 2nd Ave;At 83rd St
Big Daddy's;239 Park Ave S;Btwn 19th & 20th St
Big Enchilada;28 E 12th St;Btwn 5th Ave & University Pl
Big Nick's;70 W 71st St;At Columbus Ave
Big Nick's;2175 Broadway;At 77th St
Big Wing Wong Restaurant;102 Mott St;Btwn Canal & Hester St
Big Wong King;67 Mott St;Btwn Bayard & Canal St
Bill's;57 E 54th St;Btwn Madison & Park Ave
Bill's57 E;54th St;
Billie's Black;271 W 119th St;Btwn Frederick Douglass Blvd & St Nicholas
Billy's Bakery;184 9th Ave;At 21st St
Bin;71237 Columbus Ave;At 71st St
Biny;8 Thompson St;At Canal St
Birdies;149 1st Ave;Btwn 9th & 10th St
Birdies14;9 1st Ave;
Biricchino;260 W 29th St;Corner of 8th Ave
Bis. Co. Latte;667 10th Ave;At 47th St
Bistango;415 3rd Ave;At 29th St
Bistecca Fiorentina;317 W 46th St;Btwn 8th & 9th Ave
Bistro;2 Go316 Lexington Ave;Btwn 38th & 39th St
Bistro;611113 1st Ave;At 61st St
Bistro;6037 E 60th St;Btwn Madison & Park Ave
Bistro 2 Go;316 Lexington Ave;
Bistro 60;37 E 60th St;
Bistro 61;1113 1st Ave;
Bistro Cafe;320 Park Ave;51st St btwn Park & Madison Ave
Bistro Cassis;225 Columbus Ave;Btwn 70th & 71st St
Bistro Chat Noir;22 E 66th St;Btwn Madison & 5th Ave
Bistro Citron;473 Columbus Ave;Btwn 82nd & 83rd St
Bistro Desaret;227 E 56th St;Btwn 2nd & 3rd Ave
Bistro Le Steak;1309 3rd Ave;At 75th St
Bistro Les Amis;180 Spring St;At Thompson St
Bistro Marketplace;9090 Park Ave;Btwn 39th & 40th St
Bistro Marketplace;125 Park Ave;At 41st St
Bistro Marrakech;4959 Broadway;
Bistro Milano;1350 6th Ave;55th St btwn 5th 7 6th Ave
Bistro New York;300 Park Ave;At 49th St
Bistro Ten;181018 Amsterdam Ave;At 110th St
Bistro du Nord;1312 Madison Ave;At 93rd St
Bistrouge;432 E 13th St;Btwn 1st Ave & Ave A
Bite Me Best;138 Ave C;Btwn 8th & 9th St
Bits Bites & Baguettes;22 Park Pl;Btwn Church St & Broadway
Black Bear Lodge;274 3rd Ave;Btwn 21st & 22nd St
Black Duck;122 E 28th St;Btwn Lexington & Park Ave S
Black Iron Burger Shop;540 E 5th St;Btwn Ave A & Ave B
Black Sheep;583 3rd Ave;At 38th St
Blackstones Pub & Restaurant;245 E 55th St;Btwn 2nd & 3rd Ave
Blaggard's Pub;45 W 39th St;Btwn 5th & 6th Ave
Blaggard's Pub;8 W 38th St;Btwn 5th & 6th Ave
Blaggard's Pub;210 W 35th St;Btwn 7th & 8th Ave
Blake & Todd;7 W 47th St;Btwn 5th & 6th Ave
Blanquita Pizzeria;26 Macombs Pl;Btwn 150th & 151st St
Blarney Rock Pub;137 W 33rd St;Btwn 6th & 7th Ave
Blarney Stone;11 Trinity Pl;Btwn Morris St & Exchange Alley
Blarney Stone Restaurant;121 Fulton St;Btwn Nassau & Dutch St
Blaue Gans;139 Duane St;Btwn W Bway & Church St
Bleecker;17 Bleecker;btwn Bowery & Lafayette
Bleecker (CLOSED);17 Bleecker;btwn Bowery & Lafayette
Bleecker St;0;Btwn MacDougal & Sullivan St
Bleecker St;0 Btwn MacDougal & Sullivan St;
Bleecker St;1 Btwn MacDougal & Sullivan St;
Bleecker St;St;Btwn MacDougal & Sullivan St
Bleecker Street Pizza;69 7th Ave S;At Bleecker St
Bleu Evolution;808 W 187th St;Btwn Pinehurst & Fort Washington Ave
Blind Pig;233 E 14th St;Btwn 2nd & 3rd Ave
Blockheads;250 Vesey St;Btwn N End Ave & W Side Hwy
Blockheads;499 3rd Ave;Btwn 33rd & 34th St
Blockheads;1563 2nd Ave;Btwn 81st & 82nd St
Blockheads;954 2nd Ave;Btwn 50th & 51st St
Blockheads;951 Amsterdam Ave;Btwn 106th & 107th St
Blockheads;322 W 50th St;Btwn 8th & 9th Ave
Blondie's;1770 2nd Ave;Btwn 92nd & 93rd St
Blondie's;212 W 79th St;Btwn Bway & Amsterdam Ave
Bloom's Delicatessen;350 Lexington Ave;At 40th St
Bloomingdale Road;2398 Broadway;At 88th St
Bloomingdale Road (CLOSED);2398 Broadway;
Blossom Gourmet Vegan;187 9th Ave;Btwn 21st & 22nd St
Blue;9 Burger92 3rd Ave;Btwn 12th & 13th St
Blue & Gold;1075 1st Ave;Btwn 58th & 59th St
Blue 9 Burger;92 3rd Ave;
Blue Bar at the Algonquin Hotel;59 W 44th St;Btwn 5th & 6th Ave
Blue Dog Coffee Co.;101 W 25th St;Btwn 6th & 7th Ave
Blue Fin;1567 Broadway;At 47th St
Blue Flowers;5 E 47th St;Btwn 5th & Madison Ave
Blue Ginger;106 8th Ave;Btwn 15th & 16th St
Blue Hill;75 Washington Pl;Btwn 6th Ave & MacDougal St
Blue Moon;1444 1st Ave;At 75th St
Blue Note;131 W 3rd St;Btwn MacDougal St & 6th Ave
Blue Owl;196 2nd Ave;Btwn 12th & 13th St
Blue Point Seafood;662 9th Ave;At 46th St
Blue Point Seafood (CLOSED);662 9th Ave;
Blue Ribbon Bakery;33 Downing St;At Bedford St
Blue Ribbon Brasserie;97 Sullivan St;Btwn Prince & Spring St
Blue Ribbon Sushi;119 Sullivan St;Btwn Prince & Spring St
Blue Ribbon Sushi Bar & Grill;6 Columbus Circle;58th St btwn 8th & 9th Ave
Blue Ribbon Sushi Bar & Grill;308 W 58th St;
Blue Smoke;116 E 27th St;Btwn Lexington & Park Ave
Blue Spoon Coffee Company;76 Chambers St;Btwn Bway & Church St
Blue Valley;570 6th Ave;Btwn 15th & 16th St
Blue Water Grill;31 Union Sq W;At 16th St
Bo Bo Garden;1351 St. Nicholas Ave;Btwn 177th & 178th St
Bo Ky Restaurant;80 Bayard St;Btwn Mulberry & Mott St
Boat Basin CafeW;79th St & Hudson River 0;
Boat Basin CafeW;79th St & Hudson River;
Bobby Van's Grill;135 W 50th St;Btwn 6th & 7th Ave
Bobby Van's Grill;25 Broad St;At Exchange Pl
Bobby Van's Steakhouse;131 E 54th St;Btwn Park & Lex Ave
Bobby Van's Steakhouse;230 Park Ave;At 46th St
Boca Chica;13 1st Ave;At 1st St
Bocca;135 W 50th St;Btwn 6th & 7th Ave
Bocca;39 E 19th St;Btwn Bway & Park Ave S
Bocca di Bacco;828 9th Ave;Btwn 54th & 55th St
Bocca135 W;50th St;
Bocca39 E;19th St;
Bodrum Mediterranean;584 Amsterdam Ave;Btwn 88th & 89th St
Bogart's;99 Park Ave;At 40th St
Boi;246 E 44th St;Btwn 2nd & 3rd Ave
Boi To Go;800 2nd Ave;Btwn 42nd & 43rd St
Boi246 E;44th St;
Bombay Bistro;155 E 52nd St;
Bombay Eats;314 W 52nd St;Btwn 8th & 9th Ave
Bombay Express;764 9th Ave;Btwn 51st & 52nd St
Bombay Garden;234 7th Ave;Btwn 23rd & 24th St
Bombay Grill;344 Lexington Ave;Btwn 39th & 40th St
Bombay Masala;148 W 49th St;Btwn 6th & 7th Ave
Bombay Palace;30 W 52nd St;Btwn 5th & 6th Ave
Bombay Talkie;189 9th Ave;Btwn 21st & 22nd St
Bon Bon Chicken;98 Chambers St;Btwn Broadway & Church St
Bon Vivant Diner;820 Broadway;Btwn 11th & 12th St
Bona Fides;60 2nd Ave;Btwn 3rd & 4th St
Bond;45154 W 45th St;Btwn 6th & 7th Ave
Bond 4515;4 W 45th St;
Bond St.;6 Bond St;Btwn Bway & Lafayette St
Bondi Road;153 Rivington St;Btwn Suffolk & Clinton St
Bone Lick Park;75 Greenwich Ave;Btwn 7th Ave S & Bank St
Bongo;299 10th Ave;Btwn 27th & 28th St
Bongo299;10th Ave;
Bonjoo;107 1st Ave;Btwn 6th & 7th St
Bonjoo107;1st Ave;
Bono's Cafe;35 E 28th St;Btwn Park & Madison Ave
Bonobo's;18 E 23rd St;Btwn Bway & Park Ave S
Bonsignour;35 Jane St;Btwn 8th Ave & Hudson St
Books and Bagels;121 W 19th St;
Boom;152 Spring St;Btwn Wooster St & W Bway
Booster Juice;30 Rockefeller Center;Btwn 49th & 50th St
Booster Juice;1279 1st Ave;At 69th St
Boqueria;53 W 19th St;Btwn 5th & 6th Ave
Boqueria;171 Spring St;Btwn Thompson St & W Broadway
Border Burrito;81 3rd Ave;At 11th St
Border Burrito (CLOSED);81 3rd Ave;
Borgo Antico;22 E 13th St;Btwn 5th Ave & University Pl
Bossa Nova Brazil;772 9th Ave;
Bottega Del Vino;7 E 59th St;At 5th Ave
Bottino;246 10th Ave;Btwn 24th & 25th St
Bottino24;6 10th Ave;
Boucarou Lounge;64 E 1st St;Btwn 1st & 2nd Ave
Bouchon Bakery;10 Columbus Circle;At 60th St
Bouley;163 Duane St;At Hudson St
Bounce;1403 2nd Ave;At 73rd St
Bounce Deuce;103 2nd Ave;At 6th St
Bounce140;3 2nd Ave;
Bourbon Street Bar & Grille;346 W 46th St;Btwn 8th & 9th Ave
Bowery Eats;88 10th Ave;Btwn 15th & 16th St
Bowery Sandwich Shop;75 9th Ave;Btwn 15th & 16th St
Bowery Wine Company;13 E 1st St;Btwn Bowery & 2nd Ave
Bowlmor Lanes;110 University Pl;Btwn 12th & 13th St
Boyd Thai;210 Thompson St;Btwn W 3rd & Bleecker St
Braai;329 W 51st St;Btwn 8th & 9th Ave
Braai329 W;51st St;
Braeburn;117 Perry St;At Greenwich St
Brass Monkey;55 Little W 12th St;Btwn Washington St & 10th Ave
Brasserie;8 1/29 W 57th St;Btwn 5th & 6th Ave
Brasserie;360200 E 60th St;At 3rd Ave
Brasserie;52772 9th Ave;Btwn 51st & 52nd St
Brasserie;100 E 53rd St;Btwn Park & Lexington Ave
Brasserie;52 (CLOSED)772 9th Ave;
Brasserie;4444 W 44th St;Btwn 5th & 6th Ave
Brasserie Athenee;300 W 46th St;
Brasserie Athen̩e;300 W 46th St;At 8th Ave
Brasserie Cognac;1740 Broadway;At 55th St
Brasserie Julien;1422 3rd Ave;Btwn 80th & 81st St
Brasserie Ruhlmann;45 Rockefeller Plaza;At 50th St Btwn 5th & 6th Ave
Brasserie at Cafe Gray;10 Columbus Circle;At 60th St
Bravo Gianni;230 E 63rd St;At 3rd Ave
Bravo Pizza;64 7th Ave;Btwn 14th & 15th St
Bravo Pizza;1367 Broadway;Btwn 36th & 37th St
Bravo Pizza;146 5th Ave;Btwn 19th & 20th St
Bravo Pizza;6 E 42nd St;Btwn 5th & Madison Ave
Bravo Pizza;257 Park Ave S;Btwn 20th & 21st St
Brazil Brazil Restaurant;330 W 46th St;Btwn 8th & 9th Ave
Brazil Grill;787 8th Ave;At 48th St
Bread;20 Spring St;Btwn Elizabeth & Mott St
Bread & Olive;20 John St;Btwn Broadway & Nassau St
Bread & Olive;24 W 45th St;Btwn 5th & 6th Ave
Bread Factory Cafe;470 7th Ave;Btwn 35th & 36th St
Bread Factory Cafe;600 9th Ave;At 43rd St
Bread Factory Cafe;935 8th Ave;Btwn 55th & 56th St
Bread Market;1290 6th Ave;At 52nd St
Bread Tribeca;301 Church St;At Walker St
Bread and Company;425 Madison Ave;Btwn 48th & 49th St
Breeze;661 9th Ave;Btwn 45th & 46th St
Breeze661;9th Ave;
Brendan's Bar & Grill;42 W 35th St;Btwn 5th & 6th Ave
Bricco;304 W 56th St;Btwn 8th & 9th Ave
Bricco304 W;56th St;
Brick Lane Curry House;306 E 6th St;Btwn 1st & 2nd Ave
Brick Lane Curry House Too;235 E 53rd St;Btwn 2nd & 3rd Ave
Brick Oven Pizza;33527 6th Ave;At 14th St
Brick Oven Pizza;33489 3rd Ave;At 33rd St
Brick Oven Pizza;33268 W 23rd St;Btwn 7th & 8th Ave
Bricklane Curry House;235 E 53rd Street;Btwn 2nd & 3rd Ave
Bridge Cafe;279 Water St;At Dover St
Brio;786 Lexington Ave;Btwn 61st & 62nd St
Broadway;137th St3371 Broadway;Btwn 136th & 137th St
Broadway Bagel & Deli;2658 Broadway;At 101st St
Broadway Cafe;1123 Broadway;Btwn 25th & 26th St
Broadway Cafe;401 Broadway;At Walker St
Broadway Delights;2144 Broadway;Btwn 75th & 76th St
Broadway East;171 E Broadway;Btwn Jefferson & Rutgers St
Broadway Gourmet;588 Broadway;Btwn Prince & Houston St
Broadway Joe's Steakhouse;315 W 46th St;Btwn 8th & 9th Ave
Broadway Munchies;4996 Broadway;Btwn 211th & 212th St
Broadway New Fancy Food;351 Broadway;At Leonard St
Broadway Pizza;1157 Broadway;At 27th St
Broadway Pizza & Restaurant;2709 Broadway;Btwn 103rd & 104th St
Broadway Pizzeria & Coffee Shop;4312 Broadway;Btwn 183rd & 184th St
Broadway Restaurant;2664 Broadway;At 101st St
Broadway's Jerusalem II;1375 Broadway;Btwn 37th & 38th St
Brooklyn Bagel & Coffee Company;286 8th Ave;Btwn 24th & 25th St
Brooklyn Bagel Cafe;319 5th Ave;At 32nd St
Brooklyn Bagel Cafe (CLOSED);319 5th Ave;At 32nd St
Brooklyn Diner;155 W 43rd St;Btwn Bway & 6th Ave
Brooklyn Diner;212 W 57th St;Btwn Broadway & 7th Ave
Broome Street Bar;363 W Broadway;At Broome St
Brother Jimmy's;428 Amsterdam Ave;Btwn 80th & 81st St
Brother Jimmy's;1644 3rd Ave;At 92nd St
Brother Jimmy's;181 Lexington Ave;Btwn 31st & 32nd St
Brother Jimmy's;416 8th Ave;At 31st St
Brother Jimmy's;1485 2nd Ave;Btwn 77th & 78th St
Brother Jimmy's Express;0grand central terminal;
Brother Jimmy's Express;0Grand Central Terminal;At 42nd St
Brother Jimmy's Express;Grand Central Terminal;At 42nd St
Brother Jimmy's Express;1Grand Central Terminal 1 At 42nd St;
Brother's Deli & Grocery;127-135 4th ave;At 13th St & 4th Ave
Brothers Pizza;32 Saint Marks Pl;At 2nd Ave
Brouwer's of Stone Street;45 Stone St;At Broad St
Brouwer's of Stone Street (CLOSED);45 Stone St;
Brown Cafe;61 Hester St;Btwn Ludlow & Essex St
Brown Cup;334 8th Ave;Btwn 26th & 27th St
Brownstein's Cafe;557 W 23rd St;Btwn 10th & 11th Ave
Bruce's Bakery;1045 1st Ave;At 56th St
Bruno Jamais;24 E 81st St;Btwn 5th & Madison Ave
Bruno Ravioli;2204 Broadway;Btwn 78th & 79th St
Bruno Ravioli;387 2nd Ave;Btwn 22nd & 23rd St
Bruno's;282 1st Ave;Btwn 16th & 17th St
Bruno's28;2 1st Ave;
Bryant Park Grill;25 W 40th St;Btwn 5th & 6th Ave
Bubba Gump Shrimp Co.;1501 Broadway;At 44th St
Bubble Lounge;228 W Broadway;Btwn Franklin & White St
Bubby's;120 Hudson St;At N Moore St
Bubby's12;0 Hudson St;
Buceo;95201 W 95th St;At Amsterdam Ave
Buceo 952;01 W 95th St;
Buddakan;75 9th Ave;Btwn 15th & 16th St
Buddha BBeeQ;1750 2nd Ave;Btwn 91st & 92nd St
Buddha Bar;25 Little West 12th St;Btwn Washington St & 9th Ave
Buddha Bodai;5 Mott St;At Worth St
Budtharasa;109 Washington St;Btwn Rector & Carlisle St
Buenos Aires;513 E 6th St;Btwn Ave A & Ave B
Bukhara Grill;217 E 49th St;Btwn 2nd & 3rd Ave
Bull & Bear;570 Lexington Ave;At 49th St
Bull Moose Saloon;354 W 44th St;Btwn 8th & 9th Ave
Bull Run;52 William St;At Pine St
Bull Run (CLOSED);52 William St;
Bully's;759 Broadway;At 8th St
Bully's75;9 Broadway;
Bun SoHo;143 Grand St;Btwn Crosby & Lafayette St
Bunchberries;222 E 53rd St;Btwn 2nd & 3rd Ave
Buon Amici;40 Peck Slip;Btwn South & Front St
Buona Notte;120 Mulberry St;Btwn Canal & Hester St
Buona Sera;94 University Pl;At 12th St
Burger & Gyro Express;442 E 14th St;Btwn Ave A & 1st Ave
Burger At Its Best;66 Madison Ave;Btwn 27th & 28th St
Burger Burger;77 Pearl St;Btwn Coenties Alley & Hanover Sq
Burger Creations;52 E 8th St;At Mercer St
Burger Heaven;536 Madison Ave;Btwn 54th & 55th St
Burger Heaven;9 E 53rd St;Btwn Madison & 5th Ave
Burger Heaven;1534 3rd Ave;Btwn 86th & 87th St
Burger Heaven;20 E 49th St;Btwn Madison & 5th Ave
Burger Heaven;804 Lexington Ave;At 62nd St
Burger Heaven;291 Madison Ave;Btwn 41st & 42nd St
Burger Inc.;1546 Madison Ave;Btwn 104th & 105th St
Burger Joint;118 W 57th St;Btwn 6th & 7th Ave
Burger One;1150 Lexington Ave;Btwn 79th & 80th St
Burger Shot Beer;738 10th Ave;Btwn 50th & 51st St
Burgers & Cupcakes;458 9th Ave;Btwn 35th & 36th St
Burrito Box;885 9th Ave;Btwn 57th & 58th St
Burrito Deli;1504 Lexington Ave;At 97th St
Burrito Deli (CLOSED);1504 Lexington Ave;
Burrito Express;60 W 39th St;Btwn 5th & 6th Ave
Burrito Loco;166 W 4th St;Btwn 6th & 7th Ave
Bus Stop;3341 Broadway;At 135th St
Bus Stop Cafe;597 Hudson St;At Bethune St
Buster's Cafe;892 Amsterdam Ave;Btwn 103rd & 104th St
Butai;115 E 18th St;Btwn Park Ave S & Irving Pl
Butai115 E;18th St;
Butcher Bay;511 E 5th St;
Butter;415 Lafayette St;Btwn 4th St & Astor Pl
Butter Lane Cupcakes;123 E 7th St;Btwn 1st Ave & Ave A
Buttercup Bake Shop;141 W 72nd St;Btwn Columbus & Amsterdam Ave
Buttercup Bake Shop;973 2nd Ave;Btwn 51st & 52nd St
Butterfield;85 E 38th St;Btwn 5th & Madison Ave
Butterfly Blue;1813 Amsterdam Ave;At 150th St
Butterfly Blue (CLOSED);1813 Amsterdam Ave;At 150th St
Buzina Pop;1022A Lexington Ave;At 73rd St
Byblos Restaurant;200 E 39th St;At 3rd Ave
C & F Restaurant;171 Hester St;At Mott St
C'est Bon Cafe;5 E 47th St;Btwn 5th & Madison Ave
CAMAJE;85 MacDougal St;Btwn Bleecker & Houston St
CB Six;252 E 51st St;Btwn 2nd & 3rd Ave
CB Six252 E;51st St;
CC's Cafe;496 Hudson St;Btwn Christopher & Grove St
Cabana;89 South St Seaport Pier 17;At Beekman St
Cabana;1022 3rd Ave;Btwn 60th & 61st St
Cabana102;2 3rd Ave;
Cabo Rojo;254 10th Ave;Btwn 24th & 25th St
Cabrini;854 W 181st St;
Cabrini85;4 W 181st St;
Cabrito;50 Carmine St;Btwn Bedford & Bleecker St
Cacio e Pepe;182 2nd Ave;Btwn 11th & 12th St
Cacio e Vino;80 2nd Ave;Btwn 4th & 5th St
Caesar's;58 E 34th St;Btwn Park & Madison Ave
Caesar's Palace Pizza;493 Amsterdam Ave;Btwn 83rd & 84th St
Cafe;50 West50 W 22nd St;Btwn 5th & 6th Ave
Cafe;29 W 53rd St;Btwn 5th & 6th Ave
Cafe;57866 9th Ave;At 57th St
Cafe;222309 Adam Clayton Powell Blvd;Btwn 135th & 136th St
Cafe;27250 W 27th St;Btwn 7th & 8th Ave
Cafe;34250 W 34th St;Corner of 8th Ave
Cafe;791514 1st Ave;At 79th St
Cafe;31st220 W 31st St;Btwn 7th & 8th Ave
Cafe;4220 E 42nd St;Btwn 5th Ave & Madison Ave
Cafe;92YTribeca200 Hudson St;At Canal St
Cafe;8181 E 7th St;Btwn 1st & 2nd Ave
Cafe;3747 W 37th St;Btwn 5th & 6th Ave
Cafe;79 (CLOSED)1514 1st Ave;At 79th St
Cafe;5C68 Ave C;At 5th St
Cafe;1436 Lexington Ave;
Cafe;109 Avenue A;
Cafe & Cocktails;800 2nd Ave;At 42nd St
Cafe 2223;09 Adam Clayton Powell Blvd;
Cafe 2725;0 W 27th St;
Cafe 29 W;53rd St;
Cafe 31st;220 W 31st St;
Cafe 3425;0 W 34th St;
Cafe 3747 W;37th St;
Cafe 4220 E;42nd St;
Cafe 50 West;50 W 22nd St;
Cafe 5786;6 9th Ave;
Cafe 8181 E;7th St;
Cafe Addis;435 W 125 St;Btwn Amsterdam & Morningside Ave
Cafe Amore's;104 E 14th St;Btwn 4th Ave & Irving Pl
Cafe Amore's;147 Chambers St;Btwn Greenwich St & W Broadway
Cafe Amrita;301 W 110th St;At 8th Ave
Cafe Angelique;68 Bleecker St;Btwn Bway & Lafayette St
Cafe Angelique;49 Grove St;At Bleecker St
Cafe Asean;117 W 10th St;Btwn 6th Ave & Greenwich Ave
Cafe Bonjour;18 W 38th St;Btwn 5th & 6th Ave
Cafe Bonjour;20 E 39th St;Btwn Madison & 5th Ave
Cafe Boulud;20 E 76th St;Btwn Madison & 5th Ave
Cafe Brama;157 2nd Ave;At 10th St
Cafe Bravo;94 Greenwich St;At Rector
Cafe Bravo;11 Hanover Sq;At Pearl St
Cafe Bravo;52 Broadway;Btwn Exchange Alley & Morris St
Cafe Cafe;470 Broome St;At Greene St
Cafe Cello;48 W 46th St;Btwn 5th & 6th Ave
Cafe Centosette;160 2nd Ave;At 10th St
Cafe Centro;200 Park Ave;At 45th St
Cafe Champignon;202 7th Ave;At 22nd St
Cafe Classico;35 W 57th St;Btwn 5th & 6th Ave
Cafe Cluny;284 W 12th St;At W 4th St
Cafe Colonial;276 Elizabeth St;At Houston St
Cafe Condesa;183 W 10th St;At 7th Ave S
Cafe Cortadito;210 E 3rd St;Btwn Ave B & Ave C
Cafe Daniello's;1072 2nd Ave;Btwn 56th & 57th St
Cafe De Bruxelles;118 Greenwich Ave;At 13th St
Cafe Deville;103 3rd Ave;At 13th St
Cafe Doppio;55 Broad St;Btwn Beaver St & Exchange Pl
Cafe Duke;545 Broadway;Btwn Spring & Prince St
Cafe Duke;140 W 51st St;Btwn 6th & 7th Ave
Cafe Duke;1450 Broadway;At 41st St
Cafe Edison;228 W 47th St;Btwn Bway & 8th Ave
Cafe Eighty Two;2282 Broadway;At 82nd St
Cafe Espanol;78 Carmine St;Btwn 7th Ave S & Bedford St
Cafe Espanol;172 Bleecker St;At Sullivan St
Cafe Evergreen;1288 1st Ave;At 69th St
