restaurant;in;address1;address2;address3;neighborhood;phone;type
Bay Leaf;;49 W 56th St;between Fifth and Sixth Aves;;Midtown West;(212-957-1818);Indian
Beacon;;25 W 56th St;between Fifth and Sixth Aves;;Midtown West;(212-332-0500);American
Beard Papa’s;;2167 Broadway;between 76th and 77th Sts;;Upper West Side;(212-799-3770);Cafés
Becco;;355 W 46th St;between Eighth and Ninth Aves;;Midtown West;(212-397-7597);Italian
Belcourt;;84 E 4th St;at Second Ave;;East Village;(212-979-2034);Mediterranean
Bella Blu;;967 Lexington Ave;between 70th and 71st Sts;;Upper East Side;(212-988-4624);Italian
Bella Cucina;;1293 Lexington Ave;at 87th St;;Upper East Side;(212-289-9004);Italian
Bellavitae;;24 Minetta Ln;at Sixth Ave;;Greenwich Village;(212-473-5121);Italian
Belle de Jour;;259 Front St;between Dover St and Peck Slip;;Financial District;(212-226-7676);French
Bello Sguardo;;410 Amsterdam Ave;between 79th and 80th Sts;;Upper West Side;(212-873-6252);Mediterranean
Ben & Jack’s Steakhouse;;219 E 44th St;between Second and Third Aves;;Midtown East;(212-682-5678);Steakhouses
Ben Benson’s Steakhouse;;123 W 52nd St;between Sixth and Seventh Aves;;Midtown West;(212-581-8888);Steakhouses
Benjamin Steak House;;52 E 41st St;between Park and Madison Aves;;Midtown East;(212-297-9177);Steakhouses
Bennie’s Thai Cafe;;88 Fulton St;at Gold St;;Financial District;(212-587-8930);Thai
Benoit;;60 W 55th St;between Fifth and Sixth Aves;;Midtown West;(646-943-7373);French
Ben’s Kosher Delicatessen;;209 W 38th St;between Seventh and Eighth Aves;;Midtown West;(212-398-2367);Kosher
Beppe;;45 E 22nd St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-982-8422);Italian
Bereket;;187 E Houston St;at Orchard St;;Lower East Side;(212-475-7700);Turkish
Berry Bistro;;430 E 14th St;between Ave A and First Ave;;East Village;(646-695-4244);American Creative
Bespoke Chocolates;;6 Extra Pl off of E 1st St;between Bowery and Second Ave;;East Village;(212-260-7103);Food or Beverage Shop
Best Cellars;;1291 Lexington Ave;at 87th St;;Upper East Side;(212-426-4200);Food or Beverage Shop
Better Burger;;561 Third Ave;at 37th St;;Midtown East;(212-949-7528);American
Better Burger;;587 Ninth Ave;at 42nd St;;Midtown West;(212-629-6622);American
Better Burger;;178 Eighth Ave;at 19th St;;Chelsea;(212-989-6688);American
Better Burger (CLOSED);;1612 Second Ave at? 84th St;;;Upper East Side;(212-734-6644);American
Bettola;;412 Amsterdam Ave;between 79th and 80th Sts;;Upper West Side;(212-787-1660);Italian
Beyoglu;;1431 Third Ave;at 81st St;;Upper East Side;(212-650-0850);Turkish
Bianca;;5 Bleecker St;between Bowery and Elizabeth St;;East Village;(212-260-4666);Italian
Bice;;7 E 54th St;between Fifth and Madison Aves;;Midtown East;(212-688-1999);Italian
Big Booty Bread Co;;261 W 23rd St;between Seventh and Eighth Aves;;Chelsea;(212-414-3056);Cafés & diners
Big Daddy’s Diner;;239 Park Ave South;between 19th and 20th Sts;;Gramercy/Flatiron;(212-477-1500);Cafés & diners
Big Daddy’s Diner;;1596 Second Ave;at 83rd St;;Upper East Side;(212-717-2020);Cafés & diners
Big John;;199 Orchard St;between Houston and Stanton Sts;;Lower East Side;(212-353-2731);American
Big Nick’s;;2175 Broadway;between 76th and 77th Sts;;Upper West Side;(212-362-9238);American
Billy’s Original BBQ;;720 W 181st St;between Broadway and Fort Washington Ave;;Washington Heights;(212-568-2074);American Regional
Bin 71;;237 Columbus Ave;at 71st St;;Upper West Side;(212-362-5446);Italian
Biny;;8 Thompson St;at Canal St;;Soho;(212-334-5490);Japanese
Birdbath;Neighborhood Green Bakery;;145 Seventh Ave South;at Charles St;West Village;(646-722-6570);Cafés
Birdbath;Neighborhood Green Bakery;;223 First Ave;between 13th and 14th Sts;East Village;(646-722-6565);Cafés
Birdbath;;145 Seventh Ave South;at Charles St;;West Village;(646-722-6570);Neighborhood Green Bakery
Birdbath;;223 First Ave;between 13th and 14th Sts;;East Village;(646-722-6565);Neighborhood Green Bakery
Biricchino;;260 W 29th St;at Eighth Ave;;Chelsea;(212-695-6690);Italian
Bistango;;415 Third Ave;at 29th St;;Gramercy/Flatiron;(212-725-8484);Italian
Bistro Cassis;;225 Columbus Ave;between 70th and 71st Sts;;Upper West Side;(212-579-3966);French
Bistro Citron;;473 Columbus Ave;between 82nd and 83rd Sts;;Upper West Side;(212-400-9401);French
Bistro Desaret;;227 E 56th St;between Second and Third Aves;;Midtown East;(212-207-8777);French
Bistro Le Steak;;1309 Third Ave;at 75th St;;Upper East Side;(212-517-3800);French
Bistro Milano;;1350 Sixth Ave;at 55th St;;Midtown West;(212-757-2600);Italian
Bistro Ten 18;;1018 Amsterdam Ave;at 110th St;;Upper West Side;(212-662-7600);American
Bistro du Nord;;1312 Madison Ave;at 93rd St;;Upper East Side;(212-289-0997);French
Bistro les Amis;;180 Spring St;at Thompson St;;Soho;(212-226-8645);French
Bistrouge;;432 E 13th St;between First Ave and Ave A;;East Village;(212-677-2200);Eclectic
Bite;;211 E 14th St;between Second and Third Aves;;Gramercy/Flatiron;(212-677-3123);Cafés & diners
Bite;;333 Lafayette St;between Astor Pl and E 4th St;;Greenwich Village;(212-431-0301);Cafés & diners
Black Duck;Park South Hotel;;122 E 28th St;between Park Ave South and Lexington Ave;Gramercy/Flatiron;(212-204-5240);Seafood
Black Iron Burger Shop;540 E 5th St;;;;;;
Black Pearl (CLOSED);;37 W 26th St;between Broadway and Sixth Ave;;Chelsea;(212-532-9900);Seafood
Blaue Gans;;139 Duane St;between Church St and West Broadway;;Tribeca;(212-571-8880);Austrian
Bleu Evolution;;808 W 187th St;between Fort Washington Ave and Pinehurst Ave North;;Washington Heights;(212-928-6006);Eclectic
Bloomingdale Road;;2398 Broadway;at 88th St;;Upper West Side;(212-874-7400);American
Bloomingdale Road (CLOSED);2398 Broadway;;;;;;
Blossom Vegetarian Restaurant;;187 Ninth Ave;between 21st and 22nd Sts;;Chelsea;(212-627-1144);Vegetarian & Organic
Blue 9 Burger;;92 Third Ave;between 12th and 13th Sts;;East Village;(212-979-0053);Cafés & diners
Blue Fin;W Times Square Hotel;;1567 Broadway;at 47th St;Midtown West;(212-918-1400);Seafood
Blue Hill;;75 Washington Pl;between Washington Sq West and Sixth Ave;;Greenwich Village;(212-539-1776);American
Blue Point;;662 Ninth Ave;at 46th St;;Midtown West;(212-247-8040);French
Blue Ribbon;;97 Sullivan St;between Prince and Spring Sts;;Soho;(212-274-0404);American Creative
Blue Ribbon Bakery;;33 Downing St;at Bedford St;;West Village;(212-337-0404);Eclectic
Blue Ribbon Sushi;;119 Sullivan St;between Prince and Spring Sts;;Soho;(212-343-0404);Japanese
Blue Ribbon Sushi Bar & Grill;6 Columbus Hotel;;6 Columbus Circle;at 58th St;Upper West Side;(212-397-0404);Japanese
Blue Smoke;;116 E 27th St;between Park Ave South and Lexington Ave;;Gramercy/Flatiron;(212-447-7733);Barbeque
Blue Spoon Coffee Company;;76 Chambers St;between Broadway and Church St;;Tribeca;(212-619-7230);Cafés
Blue Water Grill;;31 Union Sq West;at 16th St;;Gramercy/Flatiron;(212-675-9500);Seafood
Bluechili;;251 W 51st St;between Broadway and Eighth Ave;;Midtown West;(212-246-3330);Asian: Pan-Asian
Bobby Van’s Steakhouse;;230 Park Ave;at 46th St;;Midtown East;(212-867-5490);Steakhouses
Bobby Van’s Steakhouse;;25 Broad St;at Exchange Pl;;Midtown East;(212-344-8463);Steakhouses
Bobby Van’s Steakhouse;;131 E 54th St;between Park and Lexington Aves;;Midtown East;(212-207-8050);Steakhouses
Bobby’s Fish and Seafood Restaurant CLOSED;;3842 Ninth Ave;at 206th St;;Inwood;(212-304-9440);Seafood
Bobo;;181 W 10th St;at Seventh Ave South;;West Village;(212-488-2626);Eclectic
Boca Chica;;13 First Ave;at 1st St;;East Village;(212-473-0108);Latin American
Bocal Cafe;;169 Sullivan St;between Bleecker and Houston Sts;;Greenwich Village;(212-387-8801);French
Bocca;;39 E 19th St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-387-1200);Italian
Bocca di Bacco;;828 Ninth Ave;between 54th and 55th Sts;;Midtown West;(212-265-8828);Italian
Bohio (CLOSED);;4055 Broadway;between 170th and 171st Sts;;Washington Heights;(212-568-5029);Latin American
Boi;;246 E 44th St;between Second and Third Aves;;Midtown East;(212-681-6541);Vietnamese
Boi Sandwich Shop;;708 Third Ave;between 44th and 45th Sts;;Midtown East;(212-682-1117);Vietnamese
Boka;;9 St. Marks Pl;between Second and Third Aves;;East Village;(212-228-2887);Korean
Bolo (CLOSED);;23 E 22nd St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-228-2200);Spanish
Bombay Frankie;;994 Amsterdam Ave;between 109th and 110th Sts;;Upper West Side;(212-666-1500);Indian
Bombay Palace;;30 W 52nd St;between Fifth and Sixth Aves;;Midtown West;(212-541-7777);Indian
Bombay Talkie;;189 Ninth Ave;between 21st and 22nd Sts;;Chelsea;(212-242-1900);Indian
Bonbon Chicken;;98 Chambers St;between Broadway and Church St;;Tribeca;(212-227-2375);Korean
Bond 45;;154 W 45th St;between Sixth and Seventh Aves;;Midtown West;(212-869-4545);Italian
Bond Street Chocolate;;63 E 4th St;between Bowery and Second Ave;;East Village;(212-677-5103);Food or Beverage Shop
BondSt;;6 Bond St;between Broadway and Lafayette St;;Greenwich Village;(212-777-2500);Japanese
Bondi Road;;153 Rivington St;between Clinton and Suffolk Sts;;Lower East Side;(212-253-5311);Australian & New Zealand
Bone Lick Park;;75 Greenwich Ave;between Seventh Ave South and Bank St;;West Village;(212-647-9600);Barbeque
Bongo;;299 Tenth Ave;between 27th and 28th Sts;;Chelsea;(212-947-3654);Seafood
Bonjoo;;107 First Ave;between 6th and 7th Sts;;East Village;(212-505-7974);Korean
Bonobo’s Vegetarian;;18 E 23rd St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-505-1200);Vegetarian & Organic
Boom;;152 Spring St;between West Broadway and Wooster St;;Soho;(212-431-3663);Italian
Boonthai;;1393A Second Ave;between 72nd and 73rd Sts;;Upper East Side;(212-249-8484);Thai
Boqueria;;171 Spring St;between West Broadway and Thompson St;;Soho;(212-343-4255);Spanish
Boqueria;;53 W 19th St;between Fifth and Sixth Aves;;Chelsea;(212-255-4160);Spanish
Borgo Antico;;22 E 13th St;at Fifth Ave and University Pl;;Greenwich Village;(212-807-1313);Italian
Borobudur;;128 E 4th St;between First and Second Aves;;East Village;(212-614-9079);Asian: Indonesian
Bossa Nova Brazil;772 Ninth Ave;;;;;;
Bottega del Vino;;7 East 59th St;at Fifth Ave;;Midtown East;(212-223-3028);Italian
Bottino;;246 Tenth Ave;between 24th and 25th Sts;;Chelsea;(212-206-6766);Italian
Bouchon Bakery;Time Warner Center;;10 Columbus Circle;at Broadway;third floor;Upper West Side;(212-823-9366)
Bouley;;163 Duane St;at Hudson St;;Tribeca;(212-964-2525);French
Bouley Bakery & Market;;120 West Broadway;at Duane St;;Tribeca;(212-608-5829);Food or Beverage Shop
Bourbon Street Bar & Grille;;346 W 46th St;between Eighth and Ninth Aves;;Midtown West;(212-245-2030);American Regional
Boutique Del Vino;;200 Spring St;at Sullivan St;;Soho;(212-431-1212);Italian
Boyd Thai Restaurant;;210 Thompson St;between Bleeker and W 3rd St;;Greenwich Village;(212-533-7290);Thai
Braeburn;;117 Perry St;at Greenwich St;;Greenwich Village;(212-255-0696);American
Branzini;;299 Madison Ave;at 41st St;;Midtown East;(212-557-3340);Mediterranean
Brasserie;;100 E 53rd St;between Park and Lexington Aves;;Midtown East;(212-751-4840);French
Brasserie 360;;200 E 60th St;at Third Ave;;Upper East Side;(212-688-8688);French
Brasserie 44;;44 W 44th St;between Fifth and Sixth Aves;;Midtown West;(212-944-8844);American
Brasserie 52;;772 Ninth Ave;between 51st and 52nd Sts;;Midtown West;(212-586-5005);French
Brasserie 52 (CLOSED);772 Ninth Ave;;;;;;
Brasserie 8 1/2;;9 W 57th St;between Fifth and Sixth Aves;;Midtown West;(212-829-0812);French
Brasserie Athenée;;300 W 46th St;at Eighth Ave;;Midtown West;(212-399-1100);French
Brasserie Cognac;;1740 Broadway;at 55th St;;Midtown West;(212-757-3600);French
Brasserie Julien;;1422 Third Ave;between 80th and 81st Sts;;Upper East Side;(212-744-6327);French
Brasserie Ruhlmann;;45 Rockefeller Plaza;between 50th and 51st Sts;;Midtown West;(212-974-2020);French
Bravo Gianni;;230 E 63rd St;between Second and Third Aves;;Upper East Side;(212-752-7272);Italian
Bread;;20 Spring St;between Elizabeth and Mott Sts;;Chinatown/Little Italy;(212-334-1015);Italian
Bread & Olive;;24 W 45th St;between Fifth and Sixth Aves;;Midtown West;(212-764-1588);Middle Eastern
Bread Tribeca;;301 Church St;between Walker and White Sts;;Tribeca;(212-334-8282);Italian
Breeze;;661 Ninth Ave;between 45th and 46th Sts;;Midtown West;(212-262-7777);Thai
Bricco;;304 W 56th St;between Eighth and Ninth Aves;;Midtown West;(212-245-7160);Italian
Brick Lane Curry House;;306–308 E 6th St;between First and Second Aves;;East Village;(212-979-2900);Indian
Brick Lane Too;235 E 53rd St;;;;;;
Bridge Cafe;;279 Water St;at Dover St;;Financial District;(212-227-3344);American
Bright Food Shop (CLOSED);;216 Eighth Ave;at 21st St;;Chelsea;(212-243-4433);Eclectic
Brio;;786 Lexington Ave;between 61st and 62nd Sts;;Upper East Side;(212-980-2300);Italian
Brio Forno;;137 E 61st St;between Park and Lexington Aves;;Upper East Side;(212-980-2300);Italian
Brio NYC;137 E 61st St;;;;;;
Broadway East;;171 East Broadway;between Jefferson and Rutgers Sts;;Lower East Side;(212-228-3100);Vegetarian & Organic
Brooklyn Diner USA;;155 W 43rd St;between Sixth Ave and Broadway;;Midtown West;(212-265-5400);American
Brooklyn Diner USA;;212 W 57th St;between Seventh Ave and Broadway;;Midtown West;(212-977-1957);American
Brother Jimmy’s;;416 Eighth Ave;at 31st St;;Midtown West;(212-967-7603);American Regional
Brother Jimmy’s;;428 Amsterdam Ave;between 80th and 81st Sts;;Upper West Side;(212-501-7211);American Regional
Brother Jimmy’s;;1485 Second Ave;between 77th and 78th Sts;;Upper East Side;(212-288-0999);American Regional
Brother Jimmy’s BBQ;;181 Lexington Ave;at 31st St;;Midtown East;(212-779-7427);American Regional
Brother Jimmy’s Bait Shack;;1644 Third Ave;at 92nd St;;Upper East Side;(212-426-2020);American Regional
Brouwers of Stone Street;;45 Stone St;between Coenties Alley and Hanover Sq;;Financial District;(212-785-5400);American
Brown;;61 Hester St;between Essex and Ludlow Sts;;Lower East Side;(212-477-2427);Cafés
Bruno Jamais Restaurant Club;;24 E 81st St;at Madison Ave;;Upper East Side;(212-396-3444);French
Bruno Ristorante;;240 E 58th St;between Second and Third Aves;;Midtown East;(212-688-4190);Italian
Bruschetteria;;92 Rivington St;between Ludlow and Orchard Sts;;Lower East Side;(646-415-8681);Cafés
Bryant Park Cafe and Grill;;25 W 40th St;between Fifth and Sixth Aves;;Midtown West;(212-840-6500);American
Bubba Gump Shrimp Company;;1501 Broadway;at 44th St;;Midtown West;(212-391-7100);Seafood
Bubby’s;;120 Hudson St;at North Moore St;;Tribeca;(212-219-0666);American
Buceo 95;;201 W 95th St;between Broadway and Amsterdam Ave;;Upper West Side;(212-662-7010);Spanish
Buddakan;;75 Ninth Ave;between 15th and 16th Sts;;Meatpacking District;(212-989-6699);Chinese
Buddha BBeeQ;;1750 Second Ave;between 91st and 92nd Sts;;Upper East Side;(212-348-7041);Korean
Buddha Bar;;25 Little W 12th St;between Ninth Ave and Washington St;;Meatpacking District;(212-647-7314);Asian: Pan-Asian
Buenos Aires;;513 E 6th St;between Aves A and B;;East Village;(212-228-2775);Argentine
Bugambilia Lounge;;93 Greenwich Ave;between Bank and W 12th Sts;;West Village;(212-989-3111);Latin American
Bulgogi and kimchi street cart;;49th St;between Sixth and Seventh Aves;;Midtown West;;Korean
Bulgogi and kimchi street cart;...;;;;;;
Bull & Bear;Waldorf=Astoria;;570 Lexington Ave;at 49th St;Midtown East;(212-872-4900);Steakhouses
Bull Run (CLOSED);;52 William St;at Pine St;;Financial District;(212-859-2200);American
Bun;;143 Grand St;at Lafayette St;;Soho;(212-431-7999);Vietnamese
BuonItalia;Chelsea Market;;75 Ninth Ave;at 16th St;Chelsea;(212-633-9090);Food or Beverage Shop
Burger Creations;;52 E 8th St;at Mercer St;;East Village;(212-539-1909);American
Burger Heaven;;20 E 49th St;between Fifth and Madison Aves;;Midtown East;(212-755-2166);American
Burger Heaven;;802 Lexington Ave;at 62nd St;;Upper East Side;(212-838-3580);American
Burger Heaven;;9 E 53rd St;between Fifth and Madison Aves;;Midtown East;(212-752-0340);American
Burger Heaven;;536 Madison Ave;between 54th and 55th Sts;;Midtown East;(212-753-4214);American
Burger Heaven;;291 Madison Ave;between 40th and 41st Sts;;Midtown East;(212-685-6250);American
Burger Joint;Le Parker Meridien Hotel;;119 W 56th St;between Sixth and Seventh Aves;Midtown West;(212-245-5000);American
Burke in the Box;;150 E 59th St;between Lexington and Third Aves;;Midtown East;(212-705-3800);Burke Bar Café
Burke in the Box;Burke Bar Café;;150 E 59th St;between Lexington and Third Aves;Midtown East;(212-705-3800);Cafés & diners
Butai;;115 E 18th St;between Park Ave South and Irving Pl;;Gramercy/Flatiron;(212-387-8885);Japanese
Butcher Bay;;511E 5th St;between Aves A and B;;East Village;(212-260-1333);American Regional
Butter;;415 Lafayette St;between Astor Pl and E 4th St;;East Village;(212-253-2828);American
Butter Lane;;123 E 7th St;between First Ave and Ave A;;East Village;(212-677-2880);American
Buttercup Bake Shop;;141 W 72nd St;between Broadway and Columbus Ave;;Upper West Side;(212-787-3800);Cafés
Butterfield 8;;5 E 38th St;between Fifth and Madison Aves;;Midtown East;(212-679-0646);American
Butterfield Kitchen;;346 E 92th St;between First and Second Aves;;Upper East Side;(212-772-8782);Food or Beverage Shop
Buzina Pop;;1022A Lexington Ave;at 73rd St;;Upper East Side;(212-879-6190);Brazilian
Byblos;;200 E 39th St;at Third Ave;;Midtown East;(212-687-0808);Middle Eastern
Cabana;89 South Street Seaport;;Pier 17;third floor;Financial District;(212-406-1155);Caribbean
Cabana;;1022 Third Ave;between 60th and 61st Sts;;Upper East Side;(212-980-5678);Caribbean
Cabo Rojo;;254 Tenth Ave;between 24th and 25th Sts;;Chelsea;(212-929-9752);Caribbean: Puerto Rican
Cabrito;;50 Carmine St;between Bedford and Bleecker Sts;;West Village;(212-929-5050);Mexican
Cacio e Pepe;;182 Second Ave;between 11th and 12th Sts;;East Village;(212-505-5931);Italian
Cacio e Vino;;80 Second Ave;between 4th and 5th Sts;;East Village;(212-228-3269);Italian
Cafe 2/Terrace 5;;9 W 53rd St;between Fifth and Sixth Aves;;Midtown West;(212-408-1299);Italian
Cafe Asean;;117 W 10th St;between Sixth and Greenwich Aves;;West Village;(212-633-0348);Asian: Pan-Asian
Cafe Centro/Beer Bar;MetLife Building;;200 Park Ave;Vanderbilt Ave;at 45th St;Midtown East;(212-818-1222)
Cafe Champignon;;202 Seventh Ave;between 21st and 22nd Sts;;Chelsea;(212-929-3002);French
Cafe Colonial;;276 Elizabeth St;at Houston St;;Chinatown/Little Italy;(212-274-0044);Brazilian
Cafe Deville;;103 Third Ave;at 13th St;;East Village;(212-477-4500);French
Cafe Edison;Hotel Edison;;228 W 47th St;between Broadway and Eighth Ave;Midtown West;(212-840-5000);American
