0_restaurant;0_neighborhood;0_address;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_country;1_neighborhood;1_type;1_phone;1_type_r
Barbarini Alimentari;Financial/Battery Pk;;;;;;;Barbarini Mercato; 227 Front St-between Beekman St and Peck Slip;New York;Financial District;Food or Beverage Shop;(212-608-9622);
Bella Blu;Upper East Side;;;;;;;Bella Cucina; 1293 Lexington Ave-at 87th St;New York;Upper East Side;Italian;(212-289-9004);
Bella Blu;Upper E. Side;;;;;;;Bella Cucina; 1293 Lexington Ave-at 87th St;New York;Upper East Side;Italian;(212-289-9004);
Better Burger;Midtown East;561 Third Ave at 37th St;;;;;;Better Burger (CLOSED); 1612 Second Ave at? 84th St-;New York;Upper East Side;American;(212-734-6644);
Brasserie 360;Midtown East;;;;;;;Brasserie 44; 44 W 44th St-between Fifth and Sixth Aves;New York;Midtown West;American;(212-944-8844);
Brasserie 44;Midtown West;;;;;;;Brasserie 52; 772 Ninth Ave-between 51st and 52nd Sts;New York;Midtown West;French;(212-586-5005);
Café Katja;Lower East Side;;;;;;;Café Lalo; 201 W 83rd St-between Amsterdam Ave and Broadway;New York;Upper West Side;Cafés & diners;(212-496-6031);
Café Pierre;Upper East Side;;;;;;;Café Pierre (CLOSED; 2 E 61st St-at Fifth Ave;New York;Upper East Side;slated to reopen in 2009);(212-940-8195);
Café con Leche;Upper West Side;;;;;;;Café d'Alsace; 1695 Second Ave-at 88th St;New York;Upper East Side;French;(212-722-5133);
Carnegie John's;Midtown West;;;;;;;Carnegie John’s; W 56th St-at Seventh Ave;New York;Midtown West;Eclectic;;
Centro Vinoteca;West Village;;;;;;;CentroPizze;201 E 10th St,;New York;East Village;;;
Centro Vinoteca;W. Village;;;;;;;CentroPizze;201 E 10th St,;New York;East Village;;;
Churrascaria Tribeca;Tribeca;;;;;;;Churrascarria Plataforma; 221 West Broadway-between Franklin and White Sts;New York;Tribeca;Brazilian;(212-925-6969);
Cipriani Le Specialita;Midtown East;;;;;;;Cipriani Le Specialità; 110 E 42nd St-between Park and Lexington Aves;New York;Midtown East;Italian;(212-557-5088);
City Crab & Seafood Company;Gramercy / Flatiron;;;;;;;City Crab and Seafood Company; 235 Park Ave South-at 19th St;New York;Gramercy/Flatiron;Seafood;(212-529-3800);
Clinton St. Baking Co. & Restaurant;Lower East Side;;;;;;;Clinton St. Baking Company;4 Clinton St.;New York;Lower East Side;;;
Curly's Vegetarian Lunch;East Village;;;;;;;Curly’s Vegetarian Lunch; 328 E 14th St-between First and Second Aves;New York;East Village;Vegetarian & Organic;(212-598-9998);
Da Silvano Cantinetta;West Village;;;;;;;Da Silvano Next Door; 260 Sixth Ave-between Bleecker and Houston Sts;New York;Greenwich Village;Italian;(212-844-0282);
Delicia Brazil;West Village;;;;;;;Delicia Brazil Restaurant;322 W 11th St.;New York;West Village;;;
Delicia Brazil;Greenwich Village;;;;;;;Delicia Brazil Restaurant;322 W 11th St.;New York;West Village;;;
Dylan's Candy Bar;Upper East Side;;;;;;;Dylan’s Candy Bar; 1011 Third Ave-at 60th St;New York;Upper East Side;Food or Beverage Shop;(646-735-0078);
Edward's;Tribeca;;;;;;;Edward’s; 136 West Broadway-between Duane and Thomas Sts;New York;Tribeca;American;(212-233-6436);
Fresco on the Go;Midtown East;;;;;;;Fresco on the go;40 E 52nd St-Btwn Madison Ave & Park Ave;New York;Midtown East;;(212-754-2700);Italian
Gabriela's Restaurante y Tequila Bar;Upper West Side;;;;;;;Gabriela’s Restaurante and Tequila Bar; 688 Columbus Ave-between 93rd and 94th Sts;New York;Upper West Side;Mexican;(212-961-9600);
Greenwich Steak & Burger;Tribeca;;;;;;;Greenwich Steak & Burger (CLOSED); 369 Greenwich St-at Franklin St;New York;Tribeca;Steakhouses;(212-625-1010);
Hiroko's Place;Soho;;;;;;;Hiroko’s Place;75 Thompson St.;New York;Soho;;;
Ishikura Restaurant;East Village;;;;;;;Ishikura Sushi;67 First Ave.;New York;East Village;;;
Jiannetto's Pizza & Catering;Midtown East;;;;;;;Jiannetto’s Pizza truck; E 47th St-at Park Ave;New York;Midtown East;Italian: Pizza;;
Lan Cafe;East Village;;;;;;;Lan Café; 342 E 6th St-between First and Second Aves;New York;East Village;Vietnamese;(212-228-8325);
Le Veau d'Or;Upper East Side;;;;;;;Le Veau d’Or; 129 E 60th St-between Park and Lexington Aves;New York;Upper East Side;French;(212-838-8133);
Le Zie;Chelsea;;;;;;;Le Zie 2000; 172 Seventh Ave-between 20th and 21st Sts;New York;Chelsea;Italian;(212-206-8686);
Life Cafe;East Village;;;;;;;Life Café; 343 E 10th St-at Ave B;New York;East Village;American;(212-477-8791);
Life Cafe;E. Village;;;;;;;Life Café; 343 E 10th St-at Ave B;New York;East Village;American;(212-477-8791);
Lily's Bar;Midtown East;;;;;;;Lily's Restaurant; 501 Lexington Ave-between 47th and 48th sts;New York;Midtown East;Eclectic;(212-838-0844);
Lucky Cheng's;East Village;;;;;;;Lucky Cheng’s; 24 First Ave-between 1st and 2nd Sts;New York;East Village;Asian: Pan-Asian;(212-473-0516);
Lucky Cheng's;E. Village;;;;;;;Lucky Cheng’s; 24 First Ave-between 1st and 2nd Sts;New York;East Village;Asian: Pan-Asian;(212-473-0516);
M. Rohrs' House of Fine Teas & Coffees;Upper East Side;;;;;;;M. Rohrs’ House of Fine Teas and Coffees; 310 E 86th St-between First and Second Aves;New York;Upper East Side;Cafés & diners;(212-772-2513);
Mamoun's;West Village;;;;;;;Mamoun's Falafel;119 MacDougal St-Btwn Bleecker & W 3rd St;New York;Greenwich Village;;(212-674-8685);Middle Eastern
Mangiami;Lower East Side;;;;;;;Mangiarini; 1593 Second Ave-between 82nd and 83rd Sts;New York;Upper East Side;Italian;(212-734-5500);
Maracas Bar and Grill;West Village;;;;;;;Maracas Mexican Bar & Grill; 33 Greenwich Ave-between Sixth and Seventh Aves;New York;West Village;Mexican;(212-593-6600);
Metro Grill;Midtown West;;;;;;;Metro Marche;625 8th Ave-At 41st St;New York;Midtown West;;(212-239-1010);French
Miracle Grill;West Village;;;;;;;Miracle Grill (CLOSED); 112 First Ave-between 6th and 7th Sts;New York;East Village;American Regional;(212-254-2353);
Miracle Grill;E. Village;;;;;;;Miracle Grill (CLOSED); 112 First Ave-between 6th and 7th Sts;New York;East Village;American Regional;(212-254-2353);
New Chao Chow;Chinatown;;;;;;;New Chao Chow Restaurant;111 Mott St.;New York;Chinatown;;;
New Pasteur;Chinatown;;;;;;;New Pasteur Restaurant;85 Baxter St.;New York;Chinatown;;;
Osteria al Doge;Midtown West;;;;;;;Osteria del Circo; 120 W 55th St-between Sixth and Seventh Aves;New York;Midtown West;Italian;(212-265-3636);
Paradou Marché;Lower East Side;;;;;;;Paradou Marché (CLOSED); 120 Essex St-at Delancey St;New York;Lower East Side;Eclectic;;
Pascalou;Upper East Side;;;;;;;Pasha; 70 W 71st St-between Central Park West and Columbus Ave;New York;Upper West Side;Turkish;(212-579-8751);
Pascalou;Upper E. Side;;;;;;;Pasha; 70 W 71st St-between Central Park West and Columbus Ave;New York;Upper West Side;Turkish;(212-579-8751);
Pellegrino's;Little Italy;;;;;;;Pellegrino’s; 138 Mulberry St-between Grand and Hester Sts;New York;Chinatown/Little Italy;Italian;(212-226-3177);
Persephone;Upper East Side;;;;;;;Persepolis; 1407 Second Ave-between 73rd and 74th Sts;New York;Upper East Side;Middle Eastern;(212-535-1100);
Resto Leon;East Village;;;;;;;Resto Léon; 351 E 12th St-between First and Second Aves;New York;East Village;French;(212-375-8483);
Ruby Foo's;Midtown West;1626 Broadway at 49th St;;;;;;Ruby Foo's (CLOSED);2182 Broadway-Btwn 77th & 78th St;;;;;
SUteiSHI;Financial/Battery Pk;;;;;;;SUteiShi; 236 Front St-at Peck Slip;New York;Financial District;Japanese;(212-766-2344);
Salute!;Murray Hill;270 Madison Ave;New York;NY;;$;Italian;Salute!27;0 Madison Ave-;;;;;
Sandro's;Upper East Side;;;;;;;Sandro’s; 306 E 81st St-between First and Second Aves;New York;Upper East Side;Italian;(212-288-7374);
Sasabune;Upper East Side;;;;;;;Sasabune NY; 401 E 73rd St-at First Ave;New York;Upper East Side;Japanese;(212-249-8583);
Sasabune;Upper E. Side;;;;;;;Sasabune NY; 401 E 73rd St-at First Ave;New York;Upper East Side;Japanese;(212-249-8583);
Sette Mezzo;Upper East Side;;;;;;;Settemezzo; 969 Lexington Ave-between 70th and 71st Sts;New York;Upper East Side;Italian;(212-472-0400);
Sette Mezzo;Upper E. Side;;;;;;;Settemezzo; 969 Lexington Ave-between 70th and 71st Sts;New York;Upper East Side;Italian;(212-472-0400);
Seymour Burton;East Village;;;;;;;Seymour Burton (CLOSED); 511 E 5th St-between Aves A and B;New York;East Village;American;(212-260-1333);
Shabu-Tatsu;East Village;;;;;;;Shabu-Tatsu Downtown;216 E 10th St.;New York;East Village;;;
Shabu-Tatsu;E. Village;;;;;;;Shabu-Tatsu Downtown;216 E 10th St.;New York;East Village;;;
Shopsin's;Lower East Side;;;;;;;Shopsin’s; 120 Essex St-between Delancey and Rivington Sts;New York;Lower East Side;Cafés & diners;(no phone);
Shun Lee;Upper West Side;;;;;;;Shun Lee Cafe; 43 W 65th St-between Central Park West and Columbus Ave;New York;Upper West Side;Chinese;(212-769-3888);
Soba Nippon;Midtown West;;;;;;;Soba Totto; 211 E 43rd St-between Second and Third Aves;New York;Midtown East;Japanese;(212-557-8200);
SouthWest NY;Financial District;;;;;;;SouthWestNY; 2 World Ficial Center-between Liberty and Vesey Sts;New York;Financial District;American Regional;(212-945-0528);
Spring Street Natural;SoHo;62 Spring St at Lafayette St;;;;;;Spring Street Natural Restaurant;62 Spring St.;New York;Soho;;;
S’MAC;East Village;;;;;;;S’Mac; 345 E 12th St-between First and Second Aves;New York;East Village;American;(212-358-7912);
Table d'Hôte;Upper East Side;;;;;;;Table d’Hôte; 44 E 92nd St-between Madison and Park Aves;New York;Upper East Side;French;(212-348-8125);
Takahachi;Tribeca;;;;;;;Takahachi Tribeca; 145 Duane St-between Church St and West Broadway;New York;Tribeca;Japanese;(212-571-1830);
Tanti Baci Caffe;West Village;;;;;;;Tanti Baci Caffè; 163 W 10th St-between Waverly Pl and Seventh Ave South;New York;West Village;Italian;(212-647-9651);
Tanti Baci Caffe;W. Village;;;;;;;Tanti Baci Caffè; 163 W 10th St-between Waverly Pl and Seventh Ave South;New York;West Village;Italian;(212-647-9651);
Tanti Baci Caffe;Greenwich Village;;;;;;;Tanti Baci Caffè; 163 W 10th St-between Waverly Pl and Seventh Ave South;New York;West Village;Italian;(212-647-9651);
Ted's Montana Grill;Midtown West;110 W 51st St btwn Sixth and Seventh...;;;;;;Ted’s Montana Grill; 110 W 51st St-between Sixth and Seventh Aves;New York;Midtown West;American;(212-245-5220);
The Mercury Dime;East Village;246 E 5th St btwn Cooper Square and...;;;;;;The Mermaid Inn; 96 Second Ave-between 5th and 6th Sts;New York;East Village;Seafood;(212-674-5870);
The Pizzeria;West Village;;;;;;;The Place; 310 W 4th St-between Bank and W 12th Sts;New York;West Village;Mediterranean;(212-924-2711);
The Shark Bar;Upper West Side;;;;;;;The Shark Bar Restaurant; 307 Amsterdam Ave-between 74th and 75th Sts;New York;Upper West Side;American Regional;(212-874-8500);
Trattoria dell'Arte;Midtown West;;;;;;;Trattoria dell’Arte; 900 Seventh Ave-between 56th and 57th Sts;New York;Midtown West;Italian;(212-245-9800);
Tribeca Hana;Tribeca;;;;;;;Tribeca Max; 181 Duane St-at Greenwich St;New York;Tribeca;Italian;(212-966-5939);
Umberto's Clam House;Little Italy;;;;;;;Umbertos Clam House;386 Broome St-Btwn Mott & Mulberry St;New York;Chinatown/Little Italy;;(212-431-7545);Italian
Village Mingala;East Village;;;;;;;Village Natural; 46 Greenwich Ave-between Sixth and Seventh Aves;New York;West Village;Vegetarian & Organic;(212-727-0968);
Vince & Eddie's;Upper West Side;;;;;;;Vince & Eddie’s; 70 W 68th St-between Central Park West and Columbus Ave;New York;Upper West Side;American;(212-721-0068);
Vince & Eddie's;Upper W. Side;;;;;;;Vince & Eddie’s; 70 W 68th St-between Central Park West and Columbus Ave;New York;Upper West Side;American;(212-721-0068);
Wondee Siam II;Midtown West;;;;;;;Wondee Siam III; 641 Tenth Ave-between 45th and 46th Sts;New York;Midtown West;;(212-245-4601);Thai
Yaffa Cafe;East Village;;;;;;;Yaffa Café;97 St. Marks Pl.;New York;East Village;;;
Yaffa Cafe;E. Village;;;;;;;Yaffa Café;97 St. Marks Pl.;New York;East Village;;;
Yaffa's Tea Room;Tribeca;;;;;;;Yaffa’s T-Room; 19 Harrison St-at Greenwich St;New York;Tribeca;Eclectic;(212-274-9403);
david burke townhouse;Upper East Side;;;;;;;davidburke & donatella; 133 E 61st St-between Park and Lexington Aves;New York;Upper East Side;American Creative;(212-813-2121);
Bond Street;E. Village;;;;;;;Bond Street Chocolate; 63 E 4th St-between Bowery and Second Ave;New York;East Village;Food or Beverage Shop;(212-677-5103);
Cacio e Pepe;E. Village;;;;;;;Cacio e Vino; 80 Second Ave-between 4th and 5th Sts;New York;East Village;Italian;(212-228-3269);
Cacio e Pepe;East Village;182 Second Ave;New York;NY;;$$;Italian;Cacio e Vino; 80 Second Ave-between 4th and 5th Sts;New York;East Village;Italian;(212-228-3269);
Cafe 2 and Terrace 5;Midtown West;;;;;;;Cafe 2/Terrace 5; 9 W 53rd St-between Fifth and Sixth Aves;New York;Midtown West;Italian;(212-408-1299);
Cafe Reggio;W. Village;;;;;;;Cafe Regular; 136 E 13th St-between Third and Fourth Aves;New York;East Village;Cafés;(No phone);
Caffe Della Pace;E. Village;;;;;;;Caffe Emilia; 139 First Ave-between St. Marks Pl and E 9th St;New York;East Village;Italian;(212-388-1234);
Candle Cafe;Upper E. Side;;;;;;;Candle Café; 1307 Third Ave-between 74th and 75th Sts;New York;Upper East Side;Vegetarian & Organic;(212-472-0970);
Casa la Femme North;Midtown East;;;;;;;Casa la Femme North (CLOSED); 1076 First Ave-between 58th and 59th Sts;New York;Midtown East;Middle Eastern: Egyptian;(212-505-0005);
Chat 'n Chew;Union Square;10 E 16th St;New York;NY;;$;American;Chat 'n' Chew;10 E 16th St;New York;;;;
Chez Napoleon;Midtown West;;;;;;;Chez Napoléon; 365 W 50th St-between Eighth and Ninth Aves;New York;Midtown West;French;(212-265-6980);
Country Cafe;SoHo;69 Thompson St btwn Broome and Spring...;;;;;;Country Café; 69 Thompson St-between Broome and Spring Sts;New York;Soho;French;(212-966-5417);
Docks Oyster Bar;Upper W. Side;;;;;;;Docks Oyster Bar & Seafood Grill; 2427 Broadway-between 89th and 90th Sts;New York;Upper West Side;Seafood;(212-724-5588);
Fitzer's;Midtown East;;;;;;;Fitzer’s;Fitzpatrick Manhattan Hotel -687 Lexington Avebetween 56th and 57th Sts;New York;Midtown East;British & Irish;(212-355-0100);
Fleur de Sel;Flatiron;5 E 20th St;New York;NY;;$$$$$;French;Fleur de Sel (CLOSED);5 E 20th St -;New York;;;;
Forlini's Restaurant;Chinatown;;;;;;;Forlini’s Restaurant;93 Baxter St.;New York;Chinatown;;nan;nan
George O'Neill's;Midtown East;;;;;;;George O’Neill’s; 145 E 50th St-between Lexington and Third Aves;New York;Midtown East;Steakhouses;(212-888-1220);
Good Enough To Eat;Upper W. Side;;;;;;;Good Enough to Eat; 483 Amsterdam Ave-between 83rd and 84th Sts;New York;Upper West Side;American;(212-496-0163);
Havana NY;Midtown West;;;;;;;Havana New York; 27 W 38th St-between Fifth and Sixth Aves;New York;Midtown West;Caribbean: Cuban;(212-944-0990);
Il Pellicano;Midtown East;;;;;;;Il Postino; 337 E 49th St-between First and Second Aves;New York;Midtown East;Italian;(212-688-0033);
Kloe;W. Village;;;;;;;Klong; 7 St. Marks Pl-between Second and Third Aves;New York;East Village;Thai;(212-505-9955);
La Rosita;Upper W. Side;;;;;;;La Rosita (CLOSED); 2809 Broadway-between 108th and 109th Sts;New York;Upper West Side;Caribbean;(212-663-7804);
La Villa;Midtown West;;;;;;;La Vineria; 727 Ninth Ave-between 49th and 50th Sts;New York;Midtown West;Italian;(212-258-2900);
Le Charlog;Upper E. Side;;;;;;;Le Charlot; 19 E 69th St-between Madison and Park Aves;New York;Upper East Side;French;(212-794-1628);
Lemongrass Grill;E. Village;;;;;;;Lemongrass Grill (CLOSED); 37 Barrow St-at Seventh Ave South;New York;West Village;Thai;(212-242-0606);
Madras Cafe;E. Village;;;;;;;Madras Café; 79 Second Ave-between 4th and 5th Sts;New York;East Village;Indian;(212-254-8002);
Mitchel London Foods;Midtown West;;;;;;;Mitchel London Pizza; 456 Ninth Ave-between 35th and 36th Sts;New York;Midtown West;Italian: Pizza;(212-563-7741);
Morrell Wine Bar & Cafe;Midtown East;;;;;;;Morrell Wine Bar & Café; 1 Rockefeller Plaza-at 49th St;New York;Midtown West;Italian;(212-262-7700);
Odessa;E. Village;;;;;;;Odessa Café; 117 Ave A-between St. Marks Pl and E 7th St;New York;East Village;Eastern European;(212-253-1470);
Olio;Upper E. Side;;;;;;;Oliva; 161 E Houston St-at Allen St;New York;Lower East Side;Spanish;(212-228-4143);
Osteria del Sole;W. Village;;;;;;;Osteria del Sole (CLOSED); 267 W 4th St-at Perry St;New York;West Village;Italian;(212-620-6840);
Payard Patisserie and Bistro;Upper E. Side;;;;;;;Payard Pâtisserie & Bistro; 1032 Lexington Ave-between 73rd and 74th Sts;New York;Upper East Side;French;(212-717-5252);
Payard Patisserie and Bistro;Upper East Side;;;;;;;Payard Pâtisserie & Bistro; 1032 Lexington Ave-between 73rd and 74th Sts;New York;Upper East Side;French;(212-717-5252);
Perry Bistro;W. Village;;;;;;;Perry St;176 Perry St-At West St;New York;West Village;;(212-352-1900);American
Rafaella To Go Chelsea;Chelsea;;;;;;;Rafaella on Ninth; 178 Ninth Ave-at 21st St;New York;Chelsea;Cafés;(212-741-3230);
Rinconcito Mexicano;Midtown West;;;;;;;Rinconcito Peruano; 803 Ninth Ave-between 53rd and 54th Sts;New York;Midtown West;Peruvian;(212-333-5685);
Ronnybrook Farm Dairy;Chelsea;;;;;;;Ronnybrook Milk Bar;Chelsea Market -75 Ninth Aveat 16th St;New York;Chelsea;Food or Beverage Shop;(212-741-6455);
Saigon Banh Mi;Chinatown;;;;;;;Saigon Banh Mi Bakery;138 Mott St.;New York;Chinatown;;;
Sandobe;E. Village;;;;;;;Sandobe Sushi; 167 First Ave-between 10th and 11th Sts;New York;East Village;Japanese;(212-505-3348);
Serafina Fabulous Grill;Upper E. Side;;;;;;;Serafina Fabulous Pizza; 1022 Madison Ave-between 78th and 79th Sts;New York;Upper East Side;Italian;(212-734-2676);
Serafina Fabulous Grill;Upper East Side;29 E 61st St btwn Park and Madison Aves;;;;;;Serafina Fabulous Pizza; 1022 Madison Ave-between 78th and 79th Sts;New York;Upper East Side;Italian;(212-734-2676);
Sharz Cafe & Wine Bar;Upper E. Side;;;;;;;Sharz Café & Wine Bar; 435 E 86th St-between First and York Aves;New York;Upper East Side;American;(212-369-1010);
Stage Coach Deli;Midtown West;;;;;;;Stage Deli; 834 Seventh Ave-between 53rd and 54th Sts;New York;Midtown West;American;(212-245-7850);
Sumile;W. Village;;;;;;;Sumile Sushi; 154 W 13th St-between Sixth and Seventh Aves;New York;West Village;Japanese;(212-989-7699);
Sushi Yasu;Midtown West;;;;;;;Sushi Yasuda; 204 E 43rd St-between Second and Third Aves;New York;Midtown East;Japanese;(212-972-1001);
Uncle Vanya;Midtown West;;;;;;;Uncle Vanya Cafe; 315 W 54th St-between Eighth and Ninth Aves;New York;Midtown West;Russian;(212-262-0542);
Yakitori Torys;Midtown East;;;;;;;Yakitori Totto; 251 W 55th St-between Broadway and Eighth Ave;New York;Midtown West;Japanese;(212-245-4555);
Archipelago;SoHo;;;;;;;Archipelago (CLOSED); 333 Hudson St-at Charlton St;New York;Soho;Japanese;(212-243-3345);
Aurora - Soho;SoHo;;;;;;;Aurora SoHo;510 Broome St-Btwn Thompson St & W Broadway;New York;Soho;;(212-334-9020);Italian
Bistro Chat Noir;Upper East Side;;;;;;;Bistro Citron; 473 Columbus Ave-between 82nd and 83rd Sts;New York;Upper West Side;French;(212-400-9401);
Brasserie Athenee;Midtown West;;;;;;;Brasserie AthenÃ©e;300 W 46th St-At 8th Ave;New York;Midtown West;;(212-399-1100);French
Cavatappo Grill;Upper East Side;;;;;;;Cavatappo Wine Bar; 1728 Second Ave-between 89th and 90th Sts;New York;Upper East Side;Italian;(212-426-0919);
La Fonda Del Sol;Midtown East;;;;;;;La Fonda del Sol; 200 Park Ave-at 44th St and Vanderbilt Ave;New York;Midtown East;Spanish;(212-867-6767);
McCormick & Schmick's Seafood - New York;Midtown West;;;;;;;McCormick & Schmick’s; 1285 Sixth Ave-at 51st St;New York;Midtown West;Seafood;(212-459-1222);
Petrossian - New York;Midtown West;;;;;;;Petrossian Boutique & Cafe;911 7th Ave-Btwn 57th & 58th St;New York;Midtown West;;(212-245-2217);Russian
Rainbow Room Grill;Midtown West;;;;;;;Rainbow Room Grill (CLOSED);30 Rockefeller Plaza -between 49th and 50th Sts65th floor;New York;Midtown West;Italian;(212-632-5100);
Russian Tea Room - NYC;Midtown West;;;;;;;Russian Vodka Room; 265 W 52nd St-between Broadway and Eighth Ave;New York;Midtown West;Russian;(212-307-5835);
Tarallucci E Vino;Gramercy / Flatiron;;;;;;;Tarallucci e Vino; 15 E 18th St-between Fifth Ave and Broadway;New York;Gramercy/Flatiron;Cafés;(212-228-5400);
