restaurant;address;addressGoogle;country;neighborhood;type;phone;type_r
Bespoke Chocolates; 6 Extra Pl off of E 1st St-between Bowery and Second Ave;6 Extra Pl;New York;East Village;Food or Beverage Shop;(212-260-7103);
Best Cellars; 1291 Lexington Ave-at 87th St;1291 Lexington Ave;New York;Upper East Side;Food or Beverage Shop;(212-426-4200);
Better Burger; 561 Third Ave-at 37th St;561 3rd Ave;New York;Midtown East;American;(212-949-7528);
Better Burger (CLOSED); 1612 Second Ave at? 84th St-;1612 2nd Ave;New York;Upper East Side;American;(212-734-6644);
Bettola; 412 Amsterdam Ave-between 79th and 80th Sts;412 Amsterdam Ave;New York;Upper West Side;Italian;(212-787-1660);
Beyoglu; 1431 Third Ave-at 81st St;1431 3rd Ave;New York;Upper East Side;Turkish;(212-650-0850);
Bianca; 5 Bleecker St-between Bowery and Elizabeth St;5 Bleecker St;New York;East Village;Italian;(212-260-4666);
Bice; 7 E 54th St-between Fifth and Madison Aves;7 E 54th St;New York;Midtown East;Italian;(212-688-1999);
Big Booty Bread Co; 261 W 23rd St-between Seventh and Eighth Aves;261 W 23rd St;New York;Chelsea;Cafés & diners;(212-414-3056);
Big Daddy’s Diner; 239 Park Ave South-between 19th and 20th Sts;239 Park Ave S;New York;Gramercy/Flatiron;Cafés & diners;(212-477-1500);
Big John; 199 Orchard St-between Houston and Stanton Sts;199 Orchard St;New York;Lower East Side;American;(212-353-2731);
Billy’s Original BBQ; 720 W 181st St-between Broadway and Fort Washington Ave;720 W 181st St;New York;Washington Heights;American Regional;(212-568-2074);
Bin 71; 237 Columbus Ave-at 71st St;237 Columbus Ave;New York;Upper West Side;Italian;(212-362-5446);
Biny; 8 Thompson St-at Canal St;8 Thompson St;New York;Soho;Japanese;(212-334-5490);
Birdbath;Neighborhood Green Bakery -145 Seventh Ave Southat Charles St;;New York;West Village;Cafés;(646-722-6570);
Biricchino; 260 W 29th St-at Eighth Ave;260 W 29th St;New York;Chelsea;Italian;(212-695-6690);
Bistango; 415 Third Ave-at 29th St;415 3rd Ave;New York;Gramercy/Flatiron;Italian;(212-725-8484);
Bistro Cassis; 225 Columbus Ave-between 70th and 71st Sts;225 Columbus Ave;New York;Upper West Side;French;(212-579-3966);
Bistro Citron; 473 Columbus Ave-between 82nd and 83rd Sts;473 Columbus Ave;New York;Upper West Side;French;(212-400-9401);
Bistro Desaret; 227 E 56th St-between Second and Third Aves;227 E 56th St;New York;Midtown East;French;(212-207-8777);
Bistro Le Steak; 1309 Third Ave-at 75th St;1309 3rd Ave;New York;Upper East Side;French;(212-517-3800);
Bistro Milano; 1350 Sixth Ave-at 55th St;1350 6th Ave;New York;Midtown West;Italian;(212-757-2600);
Bistro Ten 18; 1018 Amsterdam Ave-at 110th St;1018 Amsterdam Ave;New York;Upper West Side;American;(212-662-7600);
Bistro du Nord; 1312 Madison Ave-at 93rd St;1312 Madison Ave;New York;Upper East Side;French;(212-289-0997);
Bistro les Amis; 180 Spring St-at Thompson St;180 Spring St;New York;Soho;French;(212-226-8645);
Bistrouge; 432 E 13th St-between First Ave and Ave A;432 E 13th St;New York;East Village;Eclectic;(212-677-2200);
Bite; 211 E 14th St-between Second and Third Aves;211 E 14th St;New York;Gramercy/Flatiron;Cafés & diners;(212-677-3123);
Black Duck;Park South Hotel -122 E 28th Stbetween Park Ave South and Lexington Ave;;New York;Gramercy/Flatiron;Seafood;(212-204-5240);
Black Iron Burger Shop;540 E 5th St -;;New York;;;;
Black Pearl (CLOSED); 37 W 26th St-between Broadway and Sixth Ave;37 W 26th St;New York;Chelsea;Seafood;(212-532-9900);
Blaue Gans; 139 Duane St-between Church St and West Broadway;139 Duane St;New York;Tribeca;Austrian;(212-571-8880);
Bleu Evolution; 808 W 187th St-between Fort Washington Ave and Pinehurst Ave North;808 W 187th St;New York;Washington Heights;Eclectic;(212-928-6006);
Bloomingdale Road; 2398 Broadway-at 88th St;2398 Broadway;New York;Upper West Side;American;(212-874-7400);
Bloomingdale Road (CLOSED);2398 Broadway -;;New York;;;;
Blue 9 Burger; 92 Third Ave-between 12th and 13th Sts;92 3rd Ave;New York;East Village;Cafés & diners;(212-979-0053);
Blue Fin;W Times Square Hotel -1567 Broadwayat 47th St;;New York;Midtown West;Seafood;(212-918-1400);
Blue Hill; 75 Washington Pl-between Washington Sq West and Sixth Ave;75 Washington Pl;New York;Greenwich Village;American;(212-539-1776);
Blue Ribbon; 97 Sullivan St-between Prince and Spring Sts;97 Sullivan St;New York;Soho;American Creative;(212-274-0404);
Blue Ribbon Bakery; 33 Downing St-at Bedford St;33 Downing St;New York;West Village;Eclectic;(212-337-0404);
Blue Ribbon Sushi; 119 Sullivan St-between Prince and Spring Sts;119 Sullivan St;New York;Soho;Japanese;(212-343-0404);
Blue Ribbon Sushi Bar & Grill;6 Columbus Hotel -6 Columbus Circleat 58th St;;New York;Upper West Side;Japanese;(212-397-0404);
Blue Smoke; 116 E 27th St-between Park Ave South and Lexington Ave;116 E 27th St;New York;Gramercy/Flatiron;Barbeque;(212-447-7733);
Blue Spoon Coffee Company; 76 Chambers St-between Broadway and Church St;76 Chambers St;New York;Tribeca;Cafés;(212-619-7230);
Blue Water Grill; 31 Union Sq West-at 16th St;31 Union Square W;New York;Gramercy/Flatiron;Seafood;(212-675-9500);
Bluechili; 251 W 51st St-between Broadway and Eighth Ave;251 W 51st St;New York;Midtown West;Asian: Pan-Asian;(212-246-3330);
Bobo; 181 W 10th St-at Seventh Ave South;181 W 10th St;New York;West Village;Eclectic;(212-488-2626);
Bocal Cafe; 169 Sullivan St-between Bleecker and Houston Sts;169 Sullivan St;New York;Greenwich Village;French;(212-387-8801);
Bocca; 39 E 19th St-between Broadway and Park Ave South;39 E 19th St;New York;Gramercy/Flatiron;Italian;(212-387-1200);
Bocca di Bacco; 828 Ninth Ave-between 54th and 55th Sts;828 9th Ave;New York;Midtown West;Italian;(212-265-8828);
Bohio (CLOSED); 4055 Broadway-between 170th and 171st Sts;4055 Broadway;New York;Washington Heights;Latin American;(212-568-5029);
Boi; 246 E 44th St-between Second and Third Aves;246 E 44th St;New York;Midtown East;Vietnamese;(212-681-6541);
Boi Sandwich Shop; 708 Third Ave-between 44th and 45th Sts;708 3rd Ave;New York;Midtown East;Vietnamese;(212-682-1117);
Boka; 9 St. Marks Pl-between Second and Third Aves;9 St Marks Pl;New York;East Village;Korean;(212-228-2887);
Bolo (CLOSED); 23 E 22nd St-between Broadway and Park Ave South;23 E 22nd St;New York;Gramercy/Flatiron;Spanish;(212-228-2200);
Bombay Frankie; 994 Amsterdam Ave-between 109th and 110th Sts;994 Amsterdam Ave;New York;Upper West Side;Indian;(212-666-1500);
Bombay Palace; 30 W 52nd St-between Fifth and Sixth Aves;30 W 52nd St;New York;Midtown West;Indian;(212-541-7777);
Bombay Talkie; 189 Ninth Ave-between 21st and 22nd Sts;189 9th Ave;New York;Chelsea;Indian;(212-242-1900);
Bonbon Chicken; 98 Chambers St-between Broadway and Church St;98 Chambers St;New York;Tribeca;Korean;(212-227-2375);
Bond 45; 154 W 45th St-between Sixth and Seventh Aves;154 W 45th St;New York;Midtown West;Italian;(212-869-4545);
Bond Street Chocolate; 63 E 4th St-between Bowery and Second Ave;63 E 4th St;New York;East Village;Food or Beverage Shop;(212-677-5103);
BondSt; 6 Bond St-between Broadway and Lafayette St;6 Bond St;New York;Greenwich Village;Japanese;(212-777-2500);
Bondi Road; 153 Rivington St-between Clinton and Suffolk Sts;153 Rivington St;New York;Lower East Side;Australian & New Zealand;(212-253-5311);
Bongo; 299 Tenth Ave-between 27th and 28th Sts;299 10th Ave;New York;Chelsea;Seafood;(212-947-3654);
Bonjoo; 107 First Ave-between 6th and 7th Sts;107 1st Avenue;New York;East Village;Korean;(212-505-7974);
Bonobo’s Vegetarian; 18 E 23rd St-between Broadway and Park Ave South;18 E 23rd St;New York;Gramercy/Flatiron;Vegetarian & Organic;(212-505-1200);
Boom; 152 Spring St-between West Broadway and Wooster St;152 Spring St;New York;Soho;Italian;(212-431-3663);
Boonthai; 1393A Second Ave-between 72nd and 73rd Sts;1393A 2nd Ave;New York;Upper East Side;Thai;(212-249-8484);
Boqueria; 171 Spring St-between West Broadway and Thompson St;171 Spring St;New York;Soho;Spanish;(212-343-4255);
Borgo Antico; 22 E 13th St-at Fifth Ave and University Pl;22 E 13th St;New York;Greenwich Village;Italian;(212-807-1313);
Bossa Nova Brazil;772 Ninth Ave -;;New York;;;;
Bottino; 246 Tenth Ave-between 24th and 25th Sts;246 Amsterdam Ave;New York;Chelsea;Italian;(212-206-6766);
Bouchon Bakery;Time Warner Center -10 Columbus Circleat Broadway;;New York;third floor;(212-823-9366);Upper West Side;
Bouley; 163 Duane St-at Hudson St;163 Duane St;New York;Tribeca;French;(212-964-2525);
Bourbon Street Bar & Grille; 346 W 46th St-between Eighth and Ninth Aves;346 W 46th St;New York;Midtown West;American Regional;(212-245-2030);
Boutique Del Vino; 200 Spring St-at Sullivan St;200 Spring St;New York;Soho;Italian;(212-431-1212);
Boyd Thai Restaurant; 210 Thompson St-between Bleeker and W 3rd St;210 Thompson St;New York;Greenwich Village;Thai;(212-533-7290);
Braeburn; 117 Perry St-at Greenwich St;117 Perry St;New York;Greenwich Village;American;(212-255-0696);
Branzini; 299 Madison Ave-at 41st St;299 Madison Ave;New York;Midtown East;Mediterranean;(212-557-3340);
Brasserie; 100 E 53rd St-between Park and Lexington Aves;100 E 53rd St;New York;Midtown East;French;(212-751-4840);
Brasserie 360; 200 E 60th St-at Third Ave;200 E 60th St;New York;Upper East Side;French;(212-688-8688);
Brasserie 44; 44 W 44th St-between Fifth and Sixth Aves;44 W 44th St;New York;Midtown West;American;(212-944-8844);
Brasserie 52; 772 Ninth Ave-between 51st and 52nd Sts;772 9th Ave;New York;Midtown West;French;(212-586-5005);
Brasserie 52 (CLOSED);772 Ninth Ave -;;New York;;;;
Brasserie Cognac; 1740 Broadway-at 55th St;1740 Broadway;New York;Midtown West;French;(212-757-3600);
Brasserie Julien; 1422 Third Ave-between 80th and 81st Sts;1422 3rd Ave;New York;Upper East Side;French;(212-744-6327);
Brasserie Ruhlmann; 45 Rockefeller Plaza-between 50th and 51st Sts;45 Rockefeller Plaza;New York;Midtown West;French;(212-974-2020);
Bread; 20 Spring St-between Elizabeth and Mott Sts;20 Spring St;New York;Chinatown/Little Italy;Italian;(212-334-1015);
Bread & Olive; 24 W 45th St-between Fifth and Sixth Aves;24 W 45th St;New York;Midtown West;Middle Eastern;(212-764-1588);
Bread Tribeca; 301 Church St-between Walker and White Sts;301 Church St;New York;Tribeca;Italian;(212-334-8282);
Bricco; 304 W 56th St-between Eighth and Ninth Aves;304 W 56th St;New York;Midtown West;Italian;(212-245-7160);
Brick Lane Curry House; 306–308 E 6th St-between First and Second Aves;306-308 E 6th St;New York;East Village;Indian;(212-979-2900);
Brick Lane Too;235 E 53rd St -;;New York;;;;
Bridge Cafe; 279 Water St-at Dover St;279 Water St;New York;Financial District;American;(212-227-3344);
Bright Food Shop (CLOSED); 216 Eighth Ave-at 21st St;216 8th Ave;New York;Chelsea;Eclectic;(212-243-4433);
Brio; 786 Lexington Ave-between 61st and 62nd Sts;786 Lexington Ave;New York;Upper East Side;Italian;(212-980-2300);
Brio Forno; 137 E 61st St-between Park and Lexington Aves;137 E 61st St;New York;Upper East Side;Italian;(212-980-2300);
Brio NYC;137 E 61st St -;;New York;;;;
Broadway East; 171 East Broadway-between Jefferson and Rutgers Sts;171 E Broadway;New York;Lower East Side;Vegetarian & Organic;(212-228-3100);
Brother Jimmy’s; 416 Eighth Ave-at 31st St;416 8th Ave;New York;Midtown West;American Regional;(212-967-7603);
Brother Jimmy’s BBQ; 181 Lexington Ave-at 31st St;181 Lexington Ave;New York;Midtown East;American Regional;(212-779-7427);
Brother Jimmy’s Bait Shack; 1644 Third Ave-at 92nd St;1644 3rd Ave;New York;Upper East Side;American Regional;(212-426-2020);
Brown; 61 Hester St-between Essex and Ludlow Sts;61 Hester St;New York;Lower East Side;Cafés;(212-477-2427);
Bruno Jamais Restaurant Club; 24 E 81st St-at Madison Ave;24 E 81st St;New York;Upper East Side;French;(212-396-3444);
Bruschetteria; 92 Rivington St-between Ludlow and Orchard Sts;92 Rivington St;New York;Lower East Side;Cafés;(646-415-8681);
Bubby’s; 120 Hudson St-at North Moore St;120 Hudson St;New York;Tribeca;American;(212-219-0666);
Buceo 95; 201 W 95th St-between Broadway and Amsterdam Ave;201 W 95th St;New York;Upper West Side;Spanish;(212-662-7010);
Buddakan; 75 Ninth Ave-between 15th and 16th Sts;75 9th Ave;New York;Meatpacking District;Chinese;(212-989-6699);
Buddha BBeeQ; 1750 Second Ave-between 91st and 92nd Sts;1750 2nd Ave;New York;Upper East Side;Korean;(212-348-7041);
Buddha Bar; 25 Little W 12th St-between Ninth Ave and Washington St;25 Little W 12th St;New York;Meatpacking District;Asian: Pan-Asian;(212-647-7314);
Buenos Aires; 513 E 6th St-between Aves A and B;513 E 6th St;New York;East Village;Argentine;(212-228-2775);
Bugambilia Lounge; 93 Greenwich Ave-between Bank and W 12th Sts;93 Greenwich Ave;New York;West Village;Latin American;(212-989-3111);
Bulgogi and kimchi street cart; 49th St-between Sixth and Seventh Aves;W 49th St;New York;Midtown West;Korean;;
Bull & Bear;Waldorf=Astoria -570 Lexington Aveat 49th St;;New York;Midtown East;Steakhouses;(212-872-4900);
Bull Run (CLOSED); 52 William St-at Pine St;52 William St;New York;Financial District;American;(212-859-2200);
Bun; 143 Grand St-at Lafayette St;143 Grand St;New York;Soho;Vietnamese;(212-431-7999);
BuonItalia;Chelsea Market -75 Ninth Aveat 16th St;;New York;Chelsea;Food or Beverage Shop;(212-633-9090);
Burger Creations; 52 E 8th St-at Mercer St;52 E 8th St;New York;East Village;American;(212-539-1909);
Burger Heaven; 20 E 49th St-between Fifth and Madison Aves;20 E 49th St;New York;Midtown East;American;(212-755-2166);
Burger Joint;Le Parker Meridien Hotel -119 W 56th Stbetween Sixth and Seventh Aves;;New York;Midtown West;American;(212-245-5000);
Burke in the Box; 150 E 59th St-between Lexington and Third Aves;150 E 59th St;New York;Midtown East;Burke Bar Café;(212-705-3800);
Butai; 115 E 18th St-between Park Ave South and Irving Pl;115 E 18th St;New York;Gramercy/Flatiron;Japanese;(212-387-8885);
Butcher Bay; 511E 5th St-between Aves A and B;511E 5th St;New York;East Village;American Regional;(212-260-1333);
Butter; 415 Lafayette St-between Astor Pl and E 4th St;415 Lafayette St;New York;East Village;American;(212-253-2828);
Buttercup Bake Shop; 141 W 72nd St-between Broadway and Columbus Ave;141 W 72nd St;New York;Upper West Side;Cafés;(212-787-3800);
Butterfield 8; 5 E 38th St-between Fifth and Madison Aves;5 E 38th St;New York;Midtown East;American;(212-679-0646);
Butterfield Kitchen; 346 E 92th St-between First and Second Aves;346 E 92nd St;New York;Upper East Side;Food or Beverage Shop;(212-772-8782);
Buzina Pop; 1022A Lexington Ave-at 73rd St;1022A Lexington Ave;New York;Upper East Side;Brazilian;(212-879-6190);
Byblos; 200 E 39th St-at Third Ave;200 E 39th St;New York;Midtown East;Middle Eastern;(212-687-0808);
Cabana;89 South Street Seaport -Pier 17third floor;;New York;Financial District;Caribbean;(212-406-1155);
Cabo Rojo; 254 Tenth Ave-between 24th and 25th Sts;254 10th Ave;New York;Chelsea;Caribbean: Puerto Rican;(212-929-9752);
Cabrito; 50 Carmine St-between Bedford and Bleecker Sts;50 Carmine St;New York;West Village;Mexican;(212-929-5050);
Cacio e Pepe; 182 Second Ave-between 11th and 12th Sts;182 2nd Ave;New York;East Village;Italian;(212-505-5931);
Cacio e Vino; 80 Second Ave-between 4th and 5th Sts;80 2nd Ave;New York;East Village;Italian;(212-228-3269);
Cafe 2/Terrace 5; 9 W 53rd St-between Fifth and Sixth Aves;9 W 53rd St;New York;Midtown West;Italian;(212-408-1299);
Cafe Asean; 117 W 10th St-between Sixth and Greenwich Aves;117 W 10th St;New York;West Village;Asian: Pan-Asian;(212-633-0348);
Cafe Centro/Beer Bar;MetLife Building -200 Park AveVanderbilt Ave;;New York;at 45th St;(212-818-1222);Midtown East;
Cafe Champignon; 202 Seventh Ave-between 21st and 22nd Sts;202 7th Ave;New York;Chelsea;French;(212-929-3002);
Cafe Colonial; 276 Elizabeth St-at Houston St;276 Elizabeth St;New York;Chinatown/Little Italy;Brazilian;(212-274-0044);
Cafe Deville; 103 Third Ave-at 13th St;103 3rd Ave;New York;East Village;French;(212-477-4500);
Cafe Edison;Hotel Edison -228 W 47th Stbetween Broadway and Eighth Ave;;New York;Midtown West;American;(212-840-5000);
Cafe Evergreen; 1288 First Ave-at 69th St;1288 1st Avenue;New York;Upper East Side;Chinese;(212-744-3266);
Cafe Fiorello; 1900 Broadway-between 63rd and 64th Sts;1900 Broadway;New York;Upper West Side;Italian;(212-595-5330);
Cafe Frida; 368 Columbus Ave-between 77th and 78th Sts;368 Columbus Ave;New York;Upper West Side;Mexican;(212-712-2929);
Cafe Gitane; 242 Mott St-at Prince St;242 Mott St;New York;Chinatown/Little Italy;Moroccan;(212-334-9552);
Cafe Greco; 1390 Second Ave-between 71st and 72nd Sts;1390 2nd Ave;New York;Upper East Side;Mediterranean;(212-737-4300);
Cafe Habana; 17 Prince St-at Elizabeth St;17 Prince St;New York;Chinatown/Little Italy;Caribbean: Cuban;(212-625-2001);
Cafe Katja; 79 Orchard St-between Broome and Grand Sts;79 Orchard St;New York;Lower East Side;Eastern European;(212-219-9545);
Cafe Loup; 105 W 13th St-between Sixth and Seventh Aves;105 W 13th St;New York;West Village;French;(212-255-4746);
Cafe Luxembourg; 200 W 70th St-between Amsterdam and West End Aves;200 W 70th St;New York;Upper West Side;French;(212-873-7411);
Cafe Mozart (CLOSED); 154 W 70th St-between Columbus Ave and Broadway;154 W 70th St;New York;Upper West Side;Cafés & diners;(212-595-9797);
Cafe Notte; 1626 Second Ave-between 84th and 85th Sts;1626 2nd Ave;New York;Upper East Side;Cafés & diners;(212-288-5203);
Cafe Ollin;339 E 108th St -;;New York;;;;
Cafe Pepe Rosso;Grand Central Dining Concourse -42nd Stat Park Ave;;New York;Midtown East;Italian;(212-867-6054);
Cafe Regular; 136 E 13th St-between Third and Fourth Aves;136 E 13th St;New York;East Village;Cafés;(No phone);
Cafe Ronda; 249 Columbus Ave-between 71st and 72nd Sts;249 Columbus Ave;New York;Upper West Side;Argentine;(212-579-9929);
Cafe con Leche; 726 Amsterdam Ave-between 95th and 96th Sts;726 Amsterdam Ave;New York;Upper West Side;Caribbean;(212-678-7000);
Cafetasia; 38 E 8th St-between Greene St and University Pl;38 E 8th St;New York;Greenwich Village;Asian: Pan-Asian;(212-529-2363);
Cafeteria; 119 Seventh Ave-at 17th St;119 7th Ave;New York;Chelsea;American;(212-414-1717);
Caffe Emilia; 139 First Ave-between St. Marks Pl and E 9th St;139 1st Avenue;New York;East Village;Italian;(212-388-1234);
Caffe Falai; 265 Lafayette St-between Prince and Spring Sts;265 Lafayette St;New York;Chinatown/Little Italy;Cafés & diners;(917-338-6207);
