0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_addressGoogle;1_country;1_neighborhood;1_type;1_phone;1_type_r
Yaffa Cafe;East Village;;;;;;;;Yaffa Café;97 St. Marks Pl.;97 St Marks Pl;New York;East Village;;(212-674-9302);American
Yaffa's Tea Room;Tribeca;;;;;;;;Yaffa’s T-Room; 19 Harrison St-at Greenwich St;19 Harrison St;New York;Tribeca;Eclectic;(212-274-9403);
Yakiniku West;East Village;;;;;;;;Yakitori Taisho; 5 St. Marks Pl-between Second and Third Aves;5 St Marks Pl;New York;East Village;Japanese;(212-228-5086);
Zaitzeff;East Village;;;;;;;;Zakuro; 143 Second Ave-at 9th St;143 2nd Ave;New York;East Village;Japanese;(212-505-5625);
Zócalo;Upper East Side;;;;;;;;Zócalo (CLOSED); 174 E 82nd St-between Lexington and Third Aves;174 E 82nd St;New York;Upper East Side;Mexican;(212-717-7772);
david burke townhouse;Upper East Side;;;;;;;;davidburke & donatella; 133 E 61st St-between Park and Lexington Aves;133 E 61st St;New York;Upper East Side;American Creative;(212-813-2121);
Cacio e Pepe;East Village;182 Second Ave;182 2nd Ave;New York;NY;;$$;Italian;Cacio e Vino; 80 Second Ave-between 4th and 5th Sts;80 2nd Ave;New York;East Village;Italian;(212-228-3269);
Cafe 2 and Terrace 5;Midtown West;;;;;;;;Cafe 2/Terrace 5; 9 W 53rd St-between Fifth and Sixth Aves;9 W 53rd St;New York;Midtown West;Italian;(212-408-1299);
Casa la Femme North;Midtown East;;;;;;;;Casa la Femme North (CLOSED); 1076 First Ave-between 58th and 59th Sts;1076 1st Avenue;New York;Midtown East;Middle Eastern: Egyptian;(212-505-0005);
China Gourmet Chinese Rstrnt;Midtown West;;;;;;;;China Grill; 60 W 53rd St-between Fifth and Sixth Aves;60 W 53rd St;New York;Midtown West;Asian: Pan-Asian;(212-333-7788);
Encore;Midtown West;;;;;;;;Energy Kitchen; 417 W 47th St-between Ninth and Tenth Aves;417 W 47th St;New York;Midtown West;American;(212-333-3500);
Fitzer's;Midtown East;;;;;;;;Fitzer’s;Fitzpatrick Manhattan Hotel -687 Lexington Avebetween 56th and 57th Sts;;New York;Midtown East;British & Irish;(212-355-0100);
Forlini's Restaurant;Chinatown;;;;;;;;Forlini’s Restaurant;93 Baxter St.;93 Baxter St;New York;Chinatown;;nan;nan
George O'Neill's;Midtown East;;;;;;;;George O’Neill’s; 145 E 50th St-between Lexington and Third Aves;145 E 50th St;New York;Midtown East;Steakhouses;(212-888-1220);
Harlem Fried Chicken;Harlem;;;;;;;;Harlem Grill; 2247–49 Adam Clayton Powell Jr. Blvd (Seventh Ave)-between 132nd and 133rd Sts;2247 Adam Clayton Powell Jr Blvd;New York;Harlem;American Regional;(212-491-0493);
Havana NY;Midtown West;;;;;;;;Havana New York; 27 W 38th St-between Fifth and Sixth Aves;27 W 38th St;New York;Midtown West;Caribbean: Cuban;(212-944-0990);
Il Pellicano;Midtown East;;;;;;;;Il Postino; 337 E 49th St-between First and Second Aves;337 E 49th St;New York;Midtown East;Italian;(212-688-0033);
Il Vagabondo Restaurant;Midtown East;;;;;;;;Il Valentino;Sutton Hotel -330 E 56th Stbetween First and Second Aves;;New York;Midtown East;Italian;(212-355-0001);
Kashkaval;Midtown West;;;;;;;;Kashmir; 601 Eighth Ave-at 39th St;601 8th Ave;New York;Midtown West;Indian;(212-594-3777);
La Villa;Midtown West;;;;;;;;La Vineria; 727 Ninth Ave-between 49th and 50th Sts;727 9th Ave;New York;Midtown West;Italian;(212-258-2900);
Le Beaujolais;Midtown West;;;;;;;;Le Bernardin; 155 W 51st St-between Sixth and Seventh Aves;155 W 51st St;New York;Midtown West;French;(212-489-1515);
Luke's Bar and Grill;Upper East Side;;nan;;;;;;Lukes Bar & Grill;1394 3rd Ave;1394 3rd Ave;New York;Upper East Side;;(212-249-7070);American
March;Midtown East;;;;;;;;March (CLOSED); 405 E 58th St-between First Ave and Sutton Pl;405 E 58th St;New York;Midtown East;American Creative;(212-754-6272);
Mitchel London Foods;Midtown West;;;;;;;;Mitchel London Pizza; 456 Ninth Ave-between 35th and 36th Sts;456 9th Ave;New York;Midtown West;Italian: Pizza;(212-563-7741);
Morning Star Restaurant;Midtown West;;;;;;;;Morrell Wine Bar & Cafe;1 Rockefeller Plaza-Btwn 5th & 6th Ave at 49th St;1 Rockefeller Plaza 48Th and;New York;Midtown West;;(212-262-7700);Italian
Nissho Japanese Restaurant;Midtown West;;;;;;;;Nizza; 630 Ninth Ave-between 44th and 45th Sts;630 9th Ave;New York;Midtown West;Italian;(212-956-1800);
Rafaella To Go Chelsea;Chelsea;;;;;;;;Rafaella on Ninth; 178 Ninth Ave-at 21st St;178 9th Ave;New York;Chelsea;Cafés;(212-741-3230);
Rainbow Grill (CLOSED);Midtown West;;;;;;;;Rainbow Room;30 Rockefeller Plaza -between 49th and 50th Sts65th floor;;New York;Midtown West;Italian;(212-632-5000);
Rinconcito Mexicano;Midtown West;;;;;;;;Rinconcito Peruano; 803 Ninth Ave-between 53rd and 54th Sts;803 9th Ave;New York;Midtown West;Peruvian;(212-333-5685);
Ronnybrook Farm Dairy;Chelsea;;;;;;;;Ronnybrook Milk Bar;Chelsea Market -75 Ninth Aveat 16th St;;New York;Chelsea;Food or Beverage Shop;(212-741-6455);
Rothmann's;Midtown East;;;;;;;;Rothmann's Steakhouse & Grill;3 E 54th St-At 5th Ave;3 E 54th St;New York;Midtown East;;(212-319-5500);Steakhouses
Saigon Banh Mi;Chinatown;;;;;;;;Saigon Banh Mi Bakery;138 Mott St.;138 Mott St;New York;Chinatown;;;
Serafina Fabulous Grill;Upper East Side;29 E 61st St btwn Park and Madison Aves;29 E 61st St;;;;;;Serafina Fabulous Pizza; 1022 Madison Ave-between 78th and 79th Sts;1022 Madison Ave;New York;Upper East Side;Italian;(212-734-2676);
SobaKoh;East Village;;nan;;;;;;Sobakoh;309 E 5th St-At 2nd Ave;309 E 5th St;New York;East Village;;(212-254-2244);Japanese
Stage Coach Deli;Midtown West;;;;;;;;Stage Deli; 834 Seventh Ave-between 53rd and 54th Sts;834 7th Ave;New York;Midtown West;American;(212-245-7850);
Sushi-tei Restaurant;Midtown East;;;;;;;;SushiAnn; 38 E 51st St-between Madison and Park Aves;38 E 51st St;New York;Midtown East;Japanese;(212-755-1780);
Tintol;Midtown West;;;;;;;;Tintol (CLOSED); 155 W 46th St-between Sixth and Seventh Aves;155 W 46th St;New York;Midtown West;Portuguese;(212-354-3838);
Tu Do Restaurant Corp;Chinatown;;;;;;;;Tu Quynh Center;230 Grand St.;230 Grand St;New York;Chinatown;;;
Uncle Vanya;Midtown West;;;;;;;;Uncle Vanya Cafe; 315 W 54th St-between Eighth and Ninth Aves;315 W 54th St;New York;Midtown West;Russian;(212-262-0542);
Vigneti;Midtown East;;;;;;;;Villa Berulia; 107 E 34th St-between Park and Lexington Aves;107 E 34th St;New York;Midtown East;Italian;(212-689-1970);
Bistro Chat Noir;Upper East Side;;;;;;;;Bistro Citron; 473 Columbus Ave-between 82nd and 83rd Sts;473 Columbus Ave;New York;Upper West Side;French;(212-400-9401);
Bobby Van's Park Avenue - 'The Original';Midtown East;;;;;;;;Bobby Van's Steakhouse;230 Park Avenue;The Helmsley Building;New York;Midtown East;;(212-867-5490);Steakhouses
Brasserie Athenee;Midtown West;;;;;;;;Brasserie AthenÃ©e;300 W 46th St-At 8th Ave;300 W 46th St;New York;Midtown West;;(212-399-1100);French
Cavatappo Grill;Upper East Side;;;;;;;;Cavatappo Wine Bar; 1728 Second Ave-between 89th and 90th Sts;1728 2nd Ave;New York;Upper East Side;Italian;(212-426-0919);
Center Cut;Upper West Side;;;;;;;;Center Cut Steaks & Chops;Empire Hotel -44 W 63rd Stat Broadway;;New York;Upper West Side;Steakhouses;(212-956-1288);
Dardanel Mediterranean Seafood;Upper East Side;;;;;;;;Darna; 600 Columbus Ave-at 89th St;600 Columbus Ave;New York;Upper West Side;Kosher;(212-721-9123);
Frankie & Johnnie's Steakhouse - Manhattan;Midtown West;;;;;;;;Frankie & Johnnie’s; 32 W 37th St-between Fifth and Sixth Aves;32 W 37th St;New York;Midtown West;Steakhouses;(212-947-8940);
Good Restaurant;West Village;;;;;;;;Good Stuff Diner; 109 W 14th St-between Sixth and Seventh Aves;109 W 14th St;New York;West Village;Cafés & diners;(212-929-2555);
Klee;Chelsea;;;;;;;;Klee Brasserie; 200 Ninth Ave-between 22nd and 23rd Sts;200 9th Ave;New York;Chelsea;Eclectic;(212-633-8033);
La Fonda Del Sol;Midtown East;;;;;;;;La Fonda del Sol; 200 Park Ave-at 44th St and Vanderbilt Ave;MetLife Building;New York;Midtown East;Spanish;(212-867-6767);
Petrossian - New York;Midtown West;;;;;;;;Petrossian Boutique & Cafe;911 7th Ave-Btwn 57th & 58th St;911 7th Ave;New York;Midtown West;;(212-245-2217);Russian
Rainbow Room Grill;Midtown West;;;;;;;;Rainbow Room Grill (CLOSED);30 Rockefeller Plaza -between 49th and 50th Sts65th floor;;New York;Midtown West;Italian;(212-632-5100);
Russian Tea Room - NYC;Midtown West;;;;;;;;Russian Vodka Room; 265 W 52nd St-between Broadway and Eighth Ave;265 W 52nd St;New York;Midtown West;Russian;(212-307-5835);
Sinigual - NY;Midtown East;;;;;;;;Sip Sak; 928 Second Ave-between 49th and 50th Sts;928 2nd Ave;New York;Midtown East;Turkish;(212-583-1900);
Tarallucci E Vino;Gramercy / Flatiron;;;;;;;;Tarallucci e Vino; 15 E 18th St-between Fifth Ave and Broadway;15 E 18th St;New York;Gramercy/Flatiron;Cafés;(212-228-5400);
The Round Table at the Algonquin Hotel;Midtown West;;;;;;;;The Russian Tea Room; 150 W 57th St-between Sixth and Seventh Aves;150 W 57th St;New York;Midtown West;Russian;(212-581-7100);
Vicino Firenze;Upper East Side;;;;;;;;Vico; 1302 Madison Ave-between 92nd and 93rd Sts;1302 Madison Ave;New York;Upper East Side;Italian;(212-876-4160);
Zereouè Restaurant and Bar;Midtown East;;;;;;;;Zereoué; 13 E 37th St-between Fifth and Madison Aves;13 E 37th St;New York;Midtown East;African: West African;(212-679-9355);
wd-50;Lower East Side;;;;;;;;wd~50; 50 Clinton St-between Rivington and Stanton Sts;50 Clinton St;New York;Lower East Side;American Creative;(212-477-2900);
Ayza Cafe and Wine Bar;Midtown East;11 W 31st St btwn Fifth Ave and Broadway;11 W 31st St btwn Fifth Ave and Broadway;;;;;;Ayza Café and Wine Bar; 11 W 31st St-between Fifth Ave and Broadway;11 W 31st St;New York;Midtown East;Eclectic;(212-714-2992);
Banc Cafe;Midtown East;431 Third Ave at 30th St;431 3rd Ave;;;;;;Banc Café; 431 Third Ave-at 30th St;431 3rd Ave;New York;Midtown East;French;(212-252-0146);
CamaJe Bistro;Greenwich Village;;;;;;;;Camaje; 85 MacDougal St-between Bleecker and Houston Sts;85 MacDougal St;New York;Greenwich Village;French;(212-673-8184);
Chikalicious;East Village;;;;;;;;Chikalicious Dessert Bar;203 E 10th St.;203 E 10th St;New York;East Village;;;
Chop Suey;Midtown West;;;;;;;;Chop Suey (CLOSED); 714 Seventh Ave-between 47th and 48th Sts;714 7th Ave;New York;Midtown West;Korean;(212-261-5200);
Congee Restaurant;Lower East Side;;;;;;;;Congee Village; 100 Allen St-between Broome and Delancey Sts;100 Allen St;New York;Lower East Side;Chinese;(212-941-1818);
Elephant and Castle;Greenwich Village;68 Greenwich Ave btwn Sixth Ave and...;68 Greenwich Ave;;;;;;Elettaria; 33 W 8th St-between Fifth and Sixth Aves;33 W 8th St;New York;Greenwich Village;Eclectic;(212-677-3833);
Fairway Cafe and Steakhouse;Upper West Side;2127 Broadway btwn 74th and 75th Sts;2127 Broadway btwn 74th and 75th Sts;;;;;;Fairway Café and Steakhouse;2127 Broadway -between 74th and 75th Stssecond floor;;New York;Upper West Side;American;(212-595-1888);
Gazala Place;Midtown West;709 Ninth Ave at 49th St;709 9th Ave;;;;;;Gazala's Place;709 9th Ave-Btwn 48th & 49th St;709 9th Ave;New York;Midtown West;;(212-245-0709);Middle Eastern
Grand Tier Restaurant;Upper West Side;;;;;;;;Grandaisy Bakery; 176 W 72nd St-at Broadway;176 W 72nd St;New York;Upper West Side;Cafés;(212-334-9435);
Gyu-kaku;Midtown East;;;;;;;;Gyu–kaku;805 Third Ave -between 49th and 50th Stssecond floor;;New York;Midtown East;Japanese;(212-702-8816);
Indian Bread Co;Greenwich Village;194 Bleecker St btwn Sixth Ave and...;194 Bleecker St;;;;;;Indian Bread Co.; 194 Bleecker St-between Sixth Ave and MacDougal St;194 Bleecker St;New York;Greenwich Village;Indian;(212-228-1909);
Jacques Imo's;Upper West Side;366 Columbus Ave at 77th St;366 Columbus Ave;;;;;;Jacques Torres; 285 Amsterdam Ave-between 73rd and 74th Sts;285 Amsterdam Ave;New York;Upper West Side;Cafés & diners;(212-414-2462);
Levain Bakery;Upper West Side;;;;;;;;Levain’s; 167 W 74th St-between Columbus and Amsterdam Aves;167 W 74th St;New York;Upper West Side;Cafés;(212-874-6080);
Macaron;Midtown West;16 W 36 St btwn Broadway and 7th Aves;16 W 36 St btwn Broadway and 7th Aves;;;;;;Macaron Cafe;161 W 36th St-Btwn 7th Ave & Broadway;161 W 36th St;New York;Midtown West;;(646-573-5048);French
Obika;Midtown East;;;;;;;;Obika Mozzarella Bar;590 Madison Ave-At 57th St;590 Madison Ave;New York;Midtown East;;(212-355-2217);Italian
Sakae Sushi (CLOSED);Midtown East;405 Lexington Ave btwn 42nd and 43rd Sts;405 Lexington Avenue;;;;;;Sakagura; 211 E 43rd St-between Second and Third Aves;211 E 43rd St;New York;Midtown East;Japanese;(212-953-7253);
Schnipper's Quality Kitchen;Midtown West;;;;;;;;Schnipper’s Quality Kitchen;The New York Times Building -620 Eighth Aveat 41st St;;New York;Midtown West;American;(212-921-2400);
Smokin' Q (CLOSED);Upper East Side;;;;;;;;Smokin’ Q; 206 E 63rd St-between Second and Third Aves;206 E 63rd St;New York;Upper East Side;Barbeque;(212-355-7000);
Tokyo Pop;Upper West Side;;;;;;;;Tokyo Pop (CLOSED); 2728 Broadway-at 104th St;2728 Broadway;New York;Upper West Side;Japanese;(212-932-1000);
Alfredo's of Rome;Midtown West;;nan;;;;;;Algonquin Hotel; 59 W 44th St-between Fifth and Sixth Aves;59 W 44th St;New York;Midtown West;American;(212-840-6800);
La Bonne Soup;Midtown West;;nan;;;;;;La Bonne Soupe; 48 W 55th St-between Fifth and Sixth Aves;48 W 55th St;New York;Midtown West;French;(212-586-7650);
B. Cafe;Upper East Side;;nan;;;;;;B. Cafe West; 566 Amsterdam Ave-between 87th and 88th Sts;566 Amsterdam Ave;New York;Upper West Side;Belgian;(212-873-0003);
dell'anima;West Village;;nan;;;;;;dell’anima; 38 Eighth Ave-at Jane St;38 8th Ave;New York;West Village;Italian;(212-366-6633);
Lugo Caffe;Midtown West;;nan;;;;;;Lugo Caffè;1 Penn Plaza -33rd Stat Eighth Ave;;New York;Midtown West;Italian;(212-760-2700);
Rhong Tiam;Greenwich Village;;541 LaGuardia Pl btwn W 3rd and...;;;;;;Rhong-Tiam; 541 La Guardia Pl-between Bleecker and W 3rd Sts;541 LaGuardia Pl;New York;Greenwich Village;Thai;(212-477-0600);
Waldy's Wood Fired Pizza and Penne;Chelsea;;80 6th Ave btwn 27th and 28th Sts;;;;;;Waldy's Wood-Fired Pizza & Penne;800 6th Ave.;800 6th Ave;New York;Chelsea;;;
Pio Pio;Upper East Side;;nan;;;;;;Pio Pio Salon; 702 Amsterdam-at 94th St;702 Amsterdam Ave;New York;Upper West Side;Peruvian;(212-665-3000);
Momofuku Bakery and Milk Bar;East Village;;nan;;;;;;Momofuku Ko; 163 First Ave-at 10th St;163 1st Avenue;New York;East Village;Japanese;(no phone);
2 West;Financial District;2 West St;2 West St;New York;NY;American;$$$;;2 West;Ritz-Carlton Battery Park Hotel -2 West Stat Battery Pl;;New York;Financial District;Steakhouses;(917-790-2525);
26 Seats;East Village;168 Ave B;168 Avenue B;New York;NY;French;$$;;26 Seats; 168 Ave B-between 10th and 11th Sts;168 Avenue B;New York;East Village;French;(212-677-4787);
5 Ninth;Meatpacking District;5 Ninth Ave;5 9th Ave;New York;NY;International;$$$;;5 Ninth; 5 Ninth Ave-between Gansevoort and Little W 12th St;5 9th Ave;New York;Meatpacking District;Eclectic;(212-929-9460);
A Voce;Gramercy / Flatiron;;;;;;;;A Voce;41 Madison Ave -entrance on 26th Stbetween Madison Ave and Park Ave South;;New York;Gramercy/Flatiron;Italian;(212-545-8555);
A.O.C.;West Village;314 Bleecker St;314 Bleecker St;New York;NY;French;$$;;A.O.C.; 314 Bleecker St-at Grove St;314 Bleecker St;New York;West Village;French;(212-675-9463);
Abboccato;Midtown West;136 W 55th St;136 W 55th St;New York;NY;Italian;$$$$;;Abboccato; 138 W 55th St-between Sixth and Seventh Aves;138 W 55th St;New York;Midtown West;Italian;(212-265-4000);
Acqua;Upper West Side;;;;;;;;Acqua; 718 Amsterdam Ave-at 95th St;718 Amsterdam Ave;New York;Upper West Side;Italian;(212-222-2752);
Agave;West Village;;;;;;;;Agave; 140 Seventh Ave South-between Charles and W 10th Sts;140 7th Ave;New York;West Village;American Regional;(212-989-2100);
Akdeniz;Midtown West;19 W 46th St;19 W 46th St;New York;NY;Mediterranean;$;;Akdeniz; 19 W 46th St-between Fifth and Sixth Aves;19 W 46th St;New York;Midtown West;Turkish;(212-575-2307);
Aki;West Village;;;;;;;;Aki; 181 W 4th St-between Barrow and Jones Sts;181 West 4th Street;New York;West Village;Japanese;(212-989-5440);
Alexandra;West Village;455 Hudson St;455 Hudson St;New York;NY;American;$$;;Alexandra; 455 Hudson St-between Barrow and Morton Sts;455 Hudson St;New York;West Village;American;(212-255-3838);
Alfama;West Village;;;;;;;;Alfama; 551 Hudson St-at Perry St;551 Hudson St;New York;West Village;Portuguese;(212-645-2500);
Ali Baba;Midtown East;212 E 34th St btwn Second and Third Aves;212 E 34th St;;;;;;Ali Baba; 212 E 34th St-between Second and Third Aves;212 E 34th St;New York;Midtown East;Turkish;(212-683-9206);
Alias;Lower East Side;76 Clinton St;76 Clinton St;New York;NY;American;$$$;;Alias; 76 Clinton St-at Rivington St;76 Clinton St;New York;Lower East Side;American Creative;(212-505-5011);
Allegretti;Gramercy / Flatiron;;;;;;;;Allegretti; 46 W 22nd St-at Sixth Ave;46 W 22nd St;New York;Gramercy/Flatiron;French;(212-206-0555);
Allen & Delancey;Lower East Side;115 Allen St;115 Allen St;New York;NY;American;$$$;;Allen & Delancey; 115 Allen St-at Delancey St;115 Allen St;New York;Lower East Side;American Creative;(212-253-5400);
Almond;Gramercy / Flatiron;;;;;;;;Almond; 12 E 22nd St-between Broadway and Park Ave South;12 E 22nd St;New York;Gramercy/Flatiron;French;(212-228-7557);
Alouette;Upper West Side;2588 Broadway;2588 Broadway;New York;NY;French;$$$;;Alouette; 2588 Broadway-between 97th and 98th Sts;2588 Broadway;New York;Upper West Side;French;(212-222-6808);
Alta;Greenwich Village;64 West 10th Street;64 W 10th St;New York;NY;Mediterranean;$$$;;Alta; 64 W 10th St-between Fifth and Sixth Aves;64 W 10th St;New York;Greenwich Village;Mediterranean;(212-505-7777);
Alto;Midtown East;520 Madison Ave;520 Madison Ave;New York;NY;Italian;$$$$$;;Alto; 11 E 53rd St-;11 E 53rd St;New York;Midtown East;Italian;(212-308-1099);
Amaranth;Upper East Side;;;;;;;;Amaranth; 21 E 62nd St-between Fifth and Madison Aves;21 E 62nd St;New York;Upper East Side;Mediterranean;(212-980-6700);
Amazing 66;Chinatown;66 Mott Street;66 Mott St;New York;NY;Chinese;$$;;Amazing 66;66 Mott St.;66 Mott St;New York;Chinatown;;;
Amber;Upper East Side;;1406 3rd Ave;;;;;;Amber; 1406 Third Ave-at 80th St;1406 3rd Ave;New York;Upper East Side;Japanese;(212-249-5020);
Amma;Midtown East;246 E 51st St;246 E 51st St;New York;NY;Indian;$$$$;;Amma; 246 E 51st St-between Second and Third Aves;246 E 51st St;New York;Midtown East;Indian;(212-644-8330);
Angelica Kitchen;East Village;300 E 12th St;300 E 12th St;New York;NY;Vegetarian;$;;Angelica Kitchen; 300 E 12th St-between First and Second Aves;300 E 12th St;New York;East Village;Vegetarian & Organic;(212-228-2909);
Annisa;West Village;;;;;;;;Annisa; 13 Barrow St-between Bleecker and W 4th Sts;13 Barrow St;New York;West Village;American Creative;(212-741-6699);
Anthos;Midtown West;36 W 52nd St;36 W 52nd St;New York;NY;Mediterranean;$$$$;;Anthos; 36 W 52nd St-between Fifth and Sixth Aves;36 W 52nd St;New York;Midtown West;Greek;(212-582-6900);
Apiary;East Village;60 Third Ave.;60 3rd Ave;New York;NY;American;$$$$;;Apiary; 60 Third Ave-between 10th and 11th Sts;60 3rd Ave;New York;East Village;American;(212-254-0888);
Apizz;Lower East Side;217 Eldridge St;217 Eldridge St;New York;NY;Italian;$$$;;Apizz; 217 Eldridge St-at Stanton St;217 Eldridge St;New York;Lower East Side;Italian;(212-253-9199);
Aquagrill;Soho;;;;;;;;Aquagrill; 210 Spring St-at Sixth Ave;210 Spring St;New York;Soho;Seafood;(212-274-0505);
Aquavit;Midtown West;65 East 55th Street;65 E 55th St;New York;NY;Scandinavian;$$$$;;Aquavit; 65 E 55th St-between Madison and Park Aves;65 E 55th St;New York;Midtown West;Eclectic;(212-307-7311);
Arqua;Tribeca;;;;;;;;Arqua; 281 Church St-at White St;281 Church St;New York;Tribeca;Italian;(212-334-1888);
Asiakan;Upper West Side;710 Amsterdam Ave.;710 Amsterdam Ave;New York;NY;Pan-Asian;$;;Asiakan; 710 Amsterdam Ave-between 94th and 95th Sts;710 Amsterdam Ave;New York;Upper West Side;Asian: Pan-Asian;(212-280-8878);
