restaurant;address;country;neighborhood;type;phone
Benjamin Steak House; 52 E 41st St-between Park and Madison Aves;New York;Midtown East;Steakhouses;(212-297-9177)
Bennie’s Thai Cafe; 88 Fulton St-at Gold St;New York;Financial District;Thai;(212-587-8930)
Benoit; 60 W 55th St-between Fifth and Sixth Aves;New York;Midtown West;French;(646-943-7373)
Ben’s Kosher Delicatessen; 209 W 38th St-between Seventh and Eighth Aves;New York;Midtown West;Kosher;(212-398-2367)
Beppe; 45 E 22nd St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;Italian;(212-982-8422)
Bereket; 187 E Houston St-at Orchard St;New York;Lower East Side;Turkish;(212-475-7700)
Berry Bistro; 430 E 14th St-between Ave A and First Ave;New York;East Village;American Creative;(646-695-4244)
Bespoke Chocolates; 6 Extra Pl off of E 1st St-between Bowery and Second Ave;New York;East Village;Food or Beverage Shop;(212-260-7103)
Best Cellars; 1291 Lexington Ave-at 87th St;New York;Upper East Side;Food or Beverage Shop;(212-426-4200)
Better Burger; 561 Third Ave-at 37th St;New York;Midtown East;American;(212-949-7528)
Better Burger (CLOSED); 1612 Second Ave at? 84th St-;New York;Upper East Side;American;(212-734-6644)
Bettola; 412 Amsterdam Ave-between 79th and 80th Sts;New York;Upper West Side;Italian;(212-787-1660)
Beyoglu; 1431 Third Ave-at 81st St;New York;Upper East Side;Turkish;(212-650-0850)
Bianca; 5 Bleecker St-between Bowery and Elizabeth St;New York;East Village;Italian;(212-260-4666)
Bice; 7 E 54th St-between Fifth and Madison Aves;New York;Midtown East;Italian;(212-688-1999)
Big Booty Bread Co; 261 W 23rd St-between Seventh and Eighth Aves;New York;Chelsea;Cafés & diners;(212-414-3056)
Big Daddy’s Diner; 239 Park Ave South-between 19th and 20th Sts;New York;Gramercy/Flatiron;Cafés & diners;(212-477-1500)
Big John; 199 Orchard St-between Houston and Stanton Sts;New York;Lower East Side;American;(212-353-2731)
Big Nick’s; 2175 Broadway-between 76th and 77th Sts;New York;Upper West Side;American;(212-362-9238)
Billy’s Original BBQ; 720 W 181st St-between Broadway and Fort Washington Ave;New York;Washington Heights;American Regional;(212-568-2074)
Bin 71; 237 Columbus Ave-at 71st St;New York;Upper West Side;Italian;(212-362-5446)
Biny; 8 Thompson St-at Canal St;New York;Soho;Japanese;(212-334-5490)
Birdbath;Neighborhood Green Bakery -145 Seventh Ave Southat Charles St;New York;West Village;Cafés;(646-722-6570)
Biricchino; 260 W 29th St-at Eighth Ave;New York;Chelsea;Italian;(212-695-6690)
Bistango; 415 Third Ave-at 29th St;New York;Gramercy/Flatiron;Italian;(212-725-8484)
Bistro Cassis; 225 Columbus Ave-between 70th and 71st Sts;New York;Upper West Side;French;(212-579-3966)
Bistro Citron; 473 Columbus Ave-between 82nd and 83rd Sts;New York;Upper West Side;French;(212-400-9401)
Bistro Desaret; 227 E 56th St-between Second and Third Aves;New York;Midtown East;French;(212-207-8777)
Bistro Le Steak; 1309 Third Ave-at 75th St;New York;Upper East Side;French;(212-517-3800)
Bistro Milano; 1350 Sixth Ave-at 55th St;New York;Midtown West;Italian;(212-757-2600)
Bistro Ten 18; 1018 Amsterdam Ave-at 110th St;New York;Upper West Side;American;(212-662-7600)
Bistro du Nord; 1312 Madison Ave-at 93rd St;New York;Upper East Side;French;(212-289-0997)
Bistro les Amis; 180 Spring St-at Thompson St;New York;Soho;French;(212-226-8645)
Bistrouge; 432 E 13th St-between First Ave and Ave A;New York;East Village;Eclectic;(212-677-2200)
Bite; 211 E 14th St-between Second and Third Aves;New York;Gramercy/Flatiron;Cafés & diners;(212-677-3123)
Black Duck;Park South Hotel -122 E 28th Stbetween Park Ave South and Lexington Ave;New York;Gramercy/Flatiron;Seafood;(212-204-5240)
Black Iron Burger Shop;540 E 5th St -;New York;;;
Black Pearl (CLOSED); 37 W 26th St-between Broadway and Sixth Ave;New York;Chelsea;Seafood;(212-532-9900)
Blaue Gans; 139 Duane St-between Church St and West Broadway;New York;Tribeca;Austrian;(212-571-8880)
Bleu Evolution; 808 W 187th St-between Fort Washington Ave and Pinehurst Ave North;New York;Washington Heights;Eclectic;(212-928-6006)
Bloomingdale Road; 2398 Broadway-at 88th St;New York;Upper West Side;American;(212-874-7400)
Bloomingdale Road (CLOSED);2398 Broadway -;New York;;;
Blossom Vegetarian Restaurant; 187 Ninth Ave-between 21st and 22nd Sts;New York;Chelsea;Vegetarian & Organic;(212-627-1144)
Blue 9 Burger; 92 Third Ave-between 12th and 13th Sts;New York;East Village;Cafés & diners;(212-979-0053)
Blue Fin;W Times Square Hotel -1567 Broadwayat 47th St;New York;Midtown West;Seafood;(212-918-1400)
Blue Hill; 75 Washington Pl-between Washington Sq West and Sixth Ave;New York;Greenwich Village;American;(212-539-1776)
Blue Point; 662 Ninth Ave-at 46th St;New York;Midtown West;French;(212-247-8040)
Blue Ribbon; 97 Sullivan St-between Prince and Spring Sts;New York;Soho;American Creative;(212-274-0404)
Blue Ribbon Bakery; 33 Downing St-at Bedford St;New York;West Village;Eclectic;(212-337-0404)
Blue Ribbon Sushi; 119 Sullivan St-between Prince and Spring Sts;New York;Soho;Japanese;(212-343-0404)
Blue Ribbon Sushi Bar & Grill;6 Columbus Hotel -6 Columbus Circleat 58th St;New York;Upper West Side;Japanese;(212-397-0404)
Blue Smoke; 116 E 27th St-between Park Ave South and Lexington Ave;New York;Gramercy/Flatiron;Barbeque;(212-447-7733)
Blue Spoon Coffee Company; 76 Chambers St-between Broadway and Church St;New York;Tribeca;Cafés;(212-619-7230)
Blue Water Grill; 31 Union Sq West-at 16th St;New York;Gramercy/Flatiron;Seafood;(212-675-9500)
Bluechili; 251 W 51st St-between Broadway and Eighth Ave;New York;Midtown West;Asian: Pan-Asian;(212-246-3330)
Bobby Van’s Steakhouse; 230 Park Ave-at 46th St;New York;Midtown East;Steakhouses;(212-867-5490)
Bobby’s Fish and Seafood Restaurant CLOSED; 3842 Ninth Ave-at 206th St;New York;Inwood;Seafood;(212-304-9440)
Bobo; 181 W 10th St-at Seventh Ave South;New York;West Village;Eclectic;(212-488-2626)
Boca Chica; 13 First Ave-at 1st St;New York;East Village;Latin American;(212-473-0108)
Bocal Cafe; 169 Sullivan St-between Bleecker and Houston Sts;New York;Greenwich Village;French;(212-387-8801)
Bocca; 39 E 19th St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;Italian;(212-387-1200)
Bocca di Bacco; 828 Ninth Ave-between 54th and 55th Sts;New York;Midtown West;Italian;(212-265-8828)
Bohio (CLOSED); 4055 Broadway-between 170th and 171st Sts;New York;Washington Heights;Latin American;(212-568-5029)
Boi; 246 E 44th St-between Second and Third Aves;New York;Midtown East;Vietnamese;(212-681-6541)
Boi Sandwich Shop; 708 Third Ave-between 44th and 45th Sts;New York;Midtown East;Vietnamese;(212-682-1117)
Boka; 9 St. Marks Pl-between Second and Third Aves;New York;East Village;Korean;(212-228-2887)
Bolo (CLOSED); 23 E 22nd St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;Spanish;(212-228-2200)
Bombay Frankie; 994 Amsterdam Ave-between 109th and 110th Sts;New York;Upper West Side;Indian;(212-666-1500)
Bombay Palace; 30 W 52nd St-between Fifth and Sixth Aves;New York;Midtown West;Indian;(212-541-7777)
Bombay Talkie; 189 Ninth Ave-between 21st and 22nd Sts;New York;Chelsea;Indian;(212-242-1900)
Bonbon Chicken; 98 Chambers St-between Broadway and Church St;New York;Tribeca;Korean;(212-227-2375)
Bond 45; 154 W 45th St-between Sixth and Seventh Aves;New York;Midtown West;Italian;(212-869-4545)
Bond Street Chocolate; 63 E 4th St-between Bowery and Second Ave;New York;East Village;Food or Beverage Shop;(212-677-5103)
BondSt; 6 Bond St-between Broadway and Lafayette St;New York;Greenwich Village;Japanese;(212-777-2500)
Bondi Road; 153 Rivington St-between Clinton and Suffolk Sts;New York;Lower East Side;Australian & New Zealand;(212-253-5311)
Bone Lick Park; 75 Greenwich Ave-between Seventh Ave South and Bank St;New York;West Village;Barbeque;(212-647-9600)
Bongo; 299 Tenth Ave-between 27th and 28th Sts;New York;Chelsea;Seafood;(212-947-3654)
Bonjoo; 107 First Ave-between 6th and 7th Sts;New York;East Village;Korean;(212-505-7974)
Bonobo’s Vegetarian; 18 E 23rd St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;Vegetarian & Organic;(212-505-1200)
Boom; 152 Spring St-between West Broadway and Wooster St;New York;Soho;Italian;(212-431-3663)
Boonthai; 1393A Second Ave-between 72nd and 73rd Sts;New York;Upper East Side;Thai;(212-249-8484)
Boqueria; 171 Spring St-between West Broadway and Thompson St;New York;Soho;Spanish;(212-343-4255)
Borgo Antico; 22 E 13th St-at Fifth Ave and University Pl;New York;Greenwich Village;Italian;(212-807-1313)
Borobudur; 128 E 4th St-between First and Second Aves;New York;East Village;Asian: Indonesian;(212-614-9079)
Bossa Nova Brazil;772 Ninth Ave -;New York;;;
Bottega del Vino; 7 East 59th St-at Fifth Ave;New York;Midtown East;Italian;(212-223-3028)
Bottino; 246 Tenth Ave-between 24th and 25th Sts;New York;Chelsea;Italian;(212-206-6766)
Bouchon Bakery;Time Warner Center -10 Columbus Circleat Broadway;New York;third floor;(212-823-9366);Upper West Side
Bouley; 163 Duane St-at Hudson St;New York;Tribeca;French;(212-964-2525)
Bouley Bakery & Market; 120 West Broadway-at Duane St;New York;Tribeca;Food or Beverage Shop;(212-608-5829)
Bourbon Street Bar & Grille; 346 W 46th St-between Eighth and Ninth Aves;New York;Midtown West;American Regional;(212-245-2030)
Boutique Del Vino; 200 Spring St-at Sullivan St;New York;Soho;Italian;(212-431-1212)
Boyd Thai Restaurant; 210 Thompson St-between Bleeker and W 3rd St;New York;Greenwich Village;Thai;(212-533-7290)
Braeburn; 117 Perry St-at Greenwich St;New York;Greenwich Village;American;(212-255-0696)
Branzini; 299 Madison Ave-at 41st St;New York;Midtown East;Mediterranean;(212-557-3340)
Brasserie; 100 E 53rd St-between Park and Lexington Aves;New York;Midtown East;French;(212-751-4840)
Brasserie 360; 200 E 60th St-at Third Ave;New York;Upper East Side;French;(212-688-8688)
Brasserie 44; 44 W 44th St-between Fifth and Sixth Aves;New York;Midtown West;American;(212-944-8844)
Brasserie 52; 772 Ninth Ave-between 51st and 52nd Sts;New York;Midtown West;French;(212-586-5005)
Brasserie 52 (CLOSED);772 Ninth Ave -;New York;;;
Brasserie 8 1/2; 9 W 57th St-between Fifth and Sixth Aves;New York;Midtown West;French;(212-829-0812)
Brasserie Athenée; 300 W 46th St-at Eighth Ave;New York;Midtown West;French;(212-399-1100)
Brasserie Cognac; 1740 Broadway-at 55th St;New York;Midtown West;French;(212-757-3600)
Brasserie Julien; 1422 Third Ave-between 80th and 81st Sts;New York;Upper East Side;French;(212-744-6327)
Brasserie Ruhlmann; 45 Rockefeller Plaza-between 50th and 51st Sts;New York;Midtown West;French;(212-974-2020)
Bravo Gianni; 230 E 63rd St-between Second and Third Aves;New York;Upper East Side;Italian;(212-752-7272)
Bread; 20 Spring St-between Elizabeth and Mott Sts;New York;Chinatown/Little Italy;Italian;(212-334-1015)
Bread & Olive; 24 W 45th St-between Fifth and Sixth Aves;New York;Midtown West;Middle Eastern;(212-764-1588)
Bread Tribeca; 301 Church St-between Walker and White Sts;New York;Tribeca;Italian;(212-334-8282)
Breeze; 661 Ninth Ave-between 45th and 46th Sts;New York;Midtown West;Thai;(212-262-7777)
Bricco; 304 W 56th St-between Eighth and Ninth Aves;New York;Midtown West;Italian;(212-245-7160)
Brick Lane Curry House; 306–308 E 6th St-between First and Second Aves;New York;East Village;Indian;(212-979-2900)
Brick Lane Too;235 E 53rd St -;New York;;;
Bridge Cafe; 279 Water St-at Dover St;New York;Financial District;American;(212-227-3344)
Bright Food Shop (CLOSED); 216 Eighth Ave-at 21st St;New York;Chelsea;Eclectic;(212-243-4433)
Brio; 786 Lexington Ave-between 61st and 62nd Sts;New York;Upper East Side;Italian;(212-980-2300)
Brio Forno; 137 E 61st St-between Park and Lexington Aves;New York;Upper East Side;Italian;(212-980-2300)
Brio NYC;137 E 61st St -;New York;;;
Broadway East; 171 East Broadway-between Jefferson and Rutgers Sts;New York;Lower East Side;Vegetarian & Organic;(212-228-3100)
Brooklyn Diner USA; 155 W 43rd St-between Sixth Ave and Broadway;New York;Midtown West;American;(212-265-5400)
Brother Jimmy’s; 416 Eighth Ave-at 31st St;New York;Midtown West;American Regional;(212-967-7603)
Brother Jimmy’s BBQ; 181 Lexington Ave-at 31st St;New York;Midtown East;American Regional;(212-779-7427)
Brother Jimmy’s Bait Shack; 1644 Third Ave-at 92nd St;New York;Upper East Side;American Regional;(212-426-2020)
Brouwers of Stone Street; 45 Stone St-between Coenties Alley and Hanover Sq;New York;Financial District;American;(212-785-5400)
Brown; 61 Hester St-between Essex and Ludlow Sts;New York;Lower East Side;Cafés;(212-477-2427)
Bruno Jamais Restaurant Club; 24 E 81st St-at Madison Ave;New York;Upper East Side;French;(212-396-3444)
Bruno Ristorante; 240 E 58th St-between Second and Third Aves;New York;Midtown East;Italian;(212-688-4190)
Bruschetteria; 92 Rivington St-between Ludlow and Orchard Sts;New York;Lower East Side;Cafés;(646-415-8681)
Bryant Park Cafe and Grill; 25 W 40th St-between Fifth and Sixth Aves;New York;Midtown West;American;(212-840-6500)
Bubba Gump Shrimp Company; 1501 Broadway-at 44th St;New York;Midtown West;Seafood;(212-391-7100)
Bubby’s; 120 Hudson St-at North Moore St;New York;Tribeca;American;(212-219-0666)
Buceo 95; 201 W 95th St-between Broadway and Amsterdam Ave;New York;Upper West Side;Spanish;(212-662-7010)
Buddakan; 75 Ninth Ave-between 15th and 16th Sts;New York;Meatpacking District;Chinese;(212-989-6699)
Buddha BBeeQ; 1750 Second Ave-between 91st and 92nd Sts;New York;Upper East Side;Korean;(212-348-7041)
Buddha Bar; 25 Little W 12th St-between Ninth Ave and Washington St;New York;Meatpacking District;Asian: Pan-Asian;(212-647-7314)
Buenos Aires; 513 E 6th St-between Aves A and B;New York;East Village;Argentine;(212-228-2775)
Bugambilia Lounge; 93 Greenwich Ave-between Bank and W 12th Sts;New York;West Village;Latin American;(212-989-3111)
Bulgogi and kimchi street cart; 49th St-between Sixth and Seventh Aves;New York;Midtown West;Korean;
Bull & Bear;Waldorf=Astoria -570 Lexington Aveat 49th St;New York;Midtown East;Steakhouses;(212-872-4900)
Bull Run (CLOSED); 52 William St-at Pine St;New York;Financial District;American;(212-859-2200)
Bun; 143 Grand St-at Lafayette St;New York;Soho;Vietnamese;(212-431-7999)
BuonItalia;Chelsea Market -75 Ninth Aveat 16th St;New York;Chelsea;Food or Beverage Shop;(212-633-9090)
Burger Creations; 52 E 8th St-at Mercer St;New York;East Village;American;(212-539-1909)
Burger Heaven; 20 E 49th St-between Fifth and Madison Aves;New York;Midtown East;American;(212-755-2166)
Burger Joint;Le Parker Meridien Hotel -119 W 56th Stbetween Sixth and Seventh Aves;New York;Midtown West;American;(212-245-5000)
Burke in the Box; 150 E 59th St-between Lexington and Third Aves;New York;Midtown East;Burke Bar Café;(212-705-3800)
Butai; 115 E 18th St-between Park Ave South and Irving Pl;New York;Gramercy/Flatiron;Japanese;(212-387-8885)
Butcher Bay; 511E 5th St-between Aves A and B;New York;East Village;American Regional;(212-260-1333)
Butter; 415 Lafayette St-between Astor Pl and E 4th St;New York;East Village;American;(212-253-2828)
Butter Lane; 123 E 7th St-between First Ave and Ave A;New York;East Village;American;(212-677-2880)
Buttercup Bake Shop; 141 W 72nd St-between Broadway and Columbus Ave;New York;Upper West Side;Cafés;(212-787-3800)
Butterfield 8; 5 E 38th St-between Fifth and Madison Aves;New York;Midtown East;American;(212-679-0646)
Butterfield Kitchen; 346 E 92th St-between First and Second Aves;New York;Upper East Side;Food or Beverage Shop;(212-772-8782)
Buzina Pop; 1022A Lexington Ave-at 73rd St;New York;Upper East Side;Brazilian;(212-879-6190)
Byblos; 200 E 39th St-at Third Ave;New York;Midtown East;Middle Eastern;(212-687-0808)
Cabana;89 South Street Seaport -Pier 17third floor;New York;Financial District;Caribbean;(212-406-1155)
Cabo Rojo; 254 Tenth Ave-between 24th and 25th Sts;New York;Chelsea;Caribbean: Puerto Rican;(212-929-9752)
Cabrito; 50 Carmine St-between Bedford and Bleecker Sts;New York;West Village;Mexican;(212-929-5050)
Cacio e Pepe; 182 Second Ave-between 11th and 12th Sts;New York;East Village;Italian;(212-505-5931)
Cacio e Vino; 80 Second Ave-between 4th and 5th Sts;New York;East Village;Italian;(212-228-3269)
Cafe 2/Terrace 5; 9 W 53rd St-between Fifth and Sixth Aves;New York;Midtown West;Italian;(212-408-1299)
Cafe Asean; 117 W 10th St-between Sixth and Greenwich Aves;New York;West Village;Asian: Pan-Asian;(212-633-0348)
Cafe Centro/Beer Bar;MetLife Building -200 Park AveVanderbilt Ave;New York;at 45th St;(212-818-1222);Midtown East
Cafe Champignon; 202 Seventh Ave-between 21st and 22nd Sts;New York;Chelsea;French;(212-929-3002)
Cafe Colonial; 276 Elizabeth St-at Houston St;New York;Chinatown/Little Italy;Brazilian;(212-274-0044)
Cafe Deville; 103 Third Ave-at 13th St;New York;East Village;French;(212-477-4500)
Cafe Edison;Hotel Edison -228 W 47th Stbetween Broadway and Eighth Ave;New York;Midtown West;American;(212-840-5000)
Cafe Evergreen; 1288 First Ave-at 69th St;New York;Upper East Side;Chinese;(212-744-3266)
Cafe Fiorello; 1900 Broadway-between 63rd and 64th Sts;New York;Upper West Side;Italian;(212-595-5330)
Cafe Frida; 368 Columbus Ave-between 77th and 78th Sts;New York;Upper West Side;Mexican;(212-712-2929)
Cafe Gitane; 242 Mott St-at Prince St;New York;Chinatown/Little Italy;Moroccan;(212-334-9552)
Cafe Greco; 1390 Second Ave-between 71st and 72nd Sts;New York;Upper East Side;Mediterranean;(212-737-4300)
Cafe Habana; 17 Prince St-at Elizabeth St;New York;Chinatown/Little Italy;Caribbean: Cuban;(212-625-2001)
Cafe Habana to Go; 229 Elizabeth St-between Houston and Prince Sts;New York;Chinatown/Little Italy;Caribbean: Cuban;(212-625-2002)
Cafe Katja; 79 Orchard St-between Broome and Grand Sts;New York;Lower East Side;Eastern European;(212-219-9545)
Cafe Loup; 105 W 13th St-between Sixth and Seventh Aves;New York;West Village;French;(212-255-4746)
