TimeOut	#1 Farmer’s Market	1458 Second Ave,  at 76th St,  Upper East Side,  (212-396-2626) 
TimeOut	Adour Alain Ducasse at The St. Regis New York 	2 E 55th St,  at Fifth Ave,  Midtown West,  (212-710-2277) 
TimeOut	Adour Alain Ducasse at The St. Regis New York 	French 	2 E 55th St,  at Fifth Ave,  Midtown West,  (212-710-2277) 
TimeOut	Adour Alain Ducasse at The St. Regis New York   	2 E 55th St,  at Fifth Ave,  Midtown West,  (212-710-2277) 	 French 
TimeOut	Adrienne’s Pizzabar	53 Stone St,  between Mill St and Coenties Alley ,  Financial District,  (212-248-3838) 
TimeOut	Adrienne’s Pizzabar	Italian 	53 Stone St,  between Mill St and Coenties Alley ,  Financial District,  (212-248-3838) 
TimeOut	Adrienne’s Pizzabar 	53 Stone St,  between Mill St and Coenties Alley ,  Financial District,  (212-248-3838) 
TimeOut	Adrienne’s Pizzabar 	Italian 	53 Stone St,  between Mill St and Coenties Alley ,  Financial District,  (212-248-3838) 
TimeOut	Adrienne’s Pizzabar   	53 Stone St,  between Mill St and Coenties Alley ,  Financial District,  (212-248-3838) 	 Italian 
TimeOut	Adä	208 E 58th St,  between Second and Third Aves,  Midtown East,  (212-371-6060) 
TimeOut	Adä	Indian 	208 E 58th St,  between Second and Third Aves,  Midtown East,  (212-371-6060) 
TimeOut	Adä 	208 E 58th St,  between Second and Third Aves,  Midtown East,  (212-371-6060) 
TimeOut	Adä 	Indian 	208 E 58th St,  between Second and Third Aves,  Midtown East,  (212-371-6060) 
TimeOut	Adä   	208 E 58th St,  between Second and Third Aves,  Midtown East,  (212-371-6060) 	 Indian 
TimeOut	Affettati 	Italian 	131 E 7th St,  between First Ave and Ave A,  East Village,  (212-228-6875) 
TimeOut	Affettati (CLOSED)	131 E 7th St,  between First Ave and Ave A,  East Village,  (212-228-6875) 
TimeOut	Affettati (CLOSED)	Italian 	131 E 7th St,  between First Ave and Ave A,  East Village,  (212-228-6875) 
TimeOut	Affettati (CLOSED) 	131 E 7th St,  between First Ave and Ave A,  East Village,  (212-228-6875) 
TimeOut	Affettati (CLOSED) 	Italian 	131 E 7th St,  between First Ave and Ave A,  East Village,  (212-228-6875) 
TimeOut	Affettati   	131 E 7th St,  between First Ave and Ave A,  East Village,  (212-228-6875) 	 Italian 
TimeOut	After 8.5	9 W 57th St,  between Fifth and Sixth Aves,  Midtown West,  (212-829-0812) 
TimeOut	After 8.5	French 	9 W 57th St,  between Fifth and Sixth Aves,  Midtown West,  (212-829-0812) 
TimeOut	After 8.5 	9 W 57th St,  between Fifth and Sixth Aves,  Midtown West,  (212-829-0812) 
TimeOut	After 8.5 	French 	9 W 57th St,  between Fifth and Sixth Aves,  Midtown West,  (212-829-0812) 
TimeOut	After 8.5   	9 W 57th St,  between Fifth and Sixth Aves,  Midtown West,  (212-829-0812) 	 French 
TimeOut	Agata & Valentina	1505 First Ave,  at 79th St,  Upper East Side,  (212-452-0690) 
TimeOut	Agata & Valentina	Food or Beverage Shop 	1505 First Ave,  at 79th St,  Upper East Side,  (212-452-0690) 
TimeOut	Agata & Valentina 	1505 First Ave,  at 79th St,  Upper East Side,  (212-452-0690) 
TimeOut	Agata & Valentina 	Food or Beverage Shop 	1505 First Ave,  at 79th St,  Upper East Side,  (212-452-0690) 
TimeOut	Agata & Valentina   	1505 First Ave,  at 79th St,  Upper East Side,  (212-452-0690) 	 Food or Beverage Shop 
TimeOut	Agave	140 Seventh Ave South,  between Charles and W 10th Sts,  West Village,  (212-989-2100) 
TimeOut	Agave	American Regional 	140 Seventh Ave South,  between Charles and W 10th Sts,  West Village,  (212-989-2100) 
TimeOut	Agave 	140 Seventh Ave South,  between Charles and W 10th Sts,  West Village,  (212-989-2100) 
TimeOut	Agave 	American Regional 	140 Seventh Ave South,  between Charles and W 10th Sts,  West Village,  (212-989-2100) 
TimeOut	Agave   	140 Seventh Ave South,  between Charles and W 10th Sts,  West Village,  (212-989-2100) 	 American Regional 
TimeOut	Ago	379 Greenwich St,  at North Moore St,  Tribeca,  (212-925-3797) 
TimeOut	Ago	Italian 	377 Greenwich St,  at North Moore St,  Tribeca,  (212-925-3797) 
TimeOut	Ago 	379 Greenwich St,  at North Moore St,  Tribeca,  (212-925-3797) 
TimeOut	Ago 	Italian 	377 Greenwich St,  at North Moore St,  Tribeca,  (212-925-3797) 
TimeOut	Ago 	Italian 	379 Greenwich St,  at North Moore St,  Tribeca,  (212-925-3797) 
TimeOut	Ago   	377 Greenwich St,  at North Moore St,  Tribeca,  (212-925-3797) 	 Italian 
TimeOut	Agozar!	324 Bowery,  between Bleecker and Bond Sts,  East Village,  (212-677-6773) 
TimeOut	Agozar!	Caribbean: Cuban 	324 Bowery,  between Bleecker and Bond Sts,  East Village,  (212-677-6773) 
TimeOut	Agozar! 	324 Bowery,  between Bleecker and Bond Sts,  East Village,  (212-677-6773) 
TimeOut	Agozar! 	Caribbean: Cuban 	324 Bowery,  between Bleecker and Bond Sts,  East Village,  (212-677-6773) 
TimeOut	Agozar!   	324 Bowery,  between Bleecker and Bond Sts,  East Village,  (212-677-6773) 	 Caribbean: Cuban 
TimeOut	Aja	1066 First Ave,  at 58th St,  Midtown East,  (212-888-8008) 
TimeOut	Aja	432 Sixth Ave,  between 9th and 10th Sts,  Greenwich Village,  (212-253-7100) 
TimeOut	Aja	Asian: Pan-Asian 	1066 First Ave,  at 58th St,  Midtown East,  (212-888-8008) 
TimeOut	Aja	Asian: Pan-Asian 	432 Sixth Ave,  between 9th and 10th Sts,  Greenwich Village,  (212-253-7100) 
TimeOut	Aja 	1066 First Ave,  at 58th St,  Midtown East,  (212-888-8008) 
TimeOut	Aja 	432 Sixth Ave,  between 9th and 10th Sts,  Greenwich Village,  (212-253-7100) 
TimeOut	Aja 	Asian: Pan-Asian 	1066 First Ave,  at 58th St,  Midtown East,  (212-888-8008) 
TimeOut	Aja 	Asian: Pan-Asian 	432 Sixth Ave,  between 9th and 10th Sts,  Greenwich Village,  (212-253-7100) 
TimeOut	Aja   	1066 First Ave,  at 58th St,  Midtown East,  (212-888-8008) 	 Asian: Pan-Asian 
TimeOut	Aja   	432 Sixth Ave,  between 9th and 10th Sts,  Greenwich Village,  (212-253-7100) 	 Asian: Pan-Asian 
TimeOut	Ajisai	1466 First Ave,  between 76th and 77th Sts,  Upper East Side,  (212-717-5464) 
TimeOut	Ajisai	Japanese 	1466 First Ave,  between 76th and 77th Sts,  Upper East Side,  (212-717-5464) 
TimeOut	Ajisai 	1466 First Ave,  between 76th and 77th Sts,  Upper East Side,  (212-717-5464) 
TimeOut	Ajisai 	Japanese 	1466 First Ave,  between 76th and 77th Sts,  Upper East Side,  (212-717-5464) 
TimeOut	Ajisai   	1466 First Ave,  between 76th and 77th Sts,  Upper East Side,  (212-717-5464) 	 Japanese 
TimeOut	Ajisen Noodle	14 Mott St,  between Chatham Sq and Pell St,  Chinatown/Little Italy,  (212-267-9680) 
TimeOut	Ajisen Noodle	Japanese 	14 Mott St,  between Chatham Sq and Pell St,  Chinatown/Little Italy,  (212-267-9680) 
TimeOut	Ajisen Noodle 	14 Mott St,  between Chatham Sq and Pell St,  Chinatown/Little Italy,  (212-267-9680) 
TimeOut	Ajisen Noodle 	Japanese 	14 Mott St,  between Chatham Sq and Pell St,  Chinatown/Little Italy,  (212-267-9680) 
TimeOut	Ajisen Noodle   	14 Mott St,  between Chatham Sq and Pell St,  Chinatown/Little Italy,  (212-267-9680) 	 Japanese 
TimeOut	Akai Lounge 	507 Columbus Ave,  between 84th and 85th Sts,  Upper West Side,  (212-362-6200) 
TimeOut	Akdeniz	19 W 46th St,  between Fifth and Sixth Aves ,  Midtown West,  (212-575-2307) 
TimeOut	Akdeniz	Turkish 	19 W 46th St,  between Fifth and Sixth Aves ,  Midtown West,  (212-575-2307) 
TimeOut	Akdeniz 	19 W 46th St,  between Fifth and Sixth Aves ,  Midtown West,  (212-575-2307) 
TimeOut	Akdeniz 	Turkish 	19 W 46th St,  between Fifth and Sixth Aves ,  Midtown West,  (212-575-2307) 
TimeOut	Akdeniz   	19 W 46th St,  between Fifth and Sixth Aves ,  Midtown West,  (212-575-2307) 	 Turkish 
TimeOut	Aki	181 W 4th St,  between Barrow and Jones Sts,  West Village,  (212-989-5440) 
TimeOut	Aki	Japanese 	181 W 4th St,  between Barrow and Jones Sts,  West Village,  (212-989-5440) 
TimeOut	Aki 	181 W 4th St,  between Barrow and Jones Sts,  West Village,  (212-989-5440) 
TimeOut	Aki 	Japanese 	181 W 4th St,  between Barrow and Jones Sts,  West Village,  (212-989-5440) 
TimeOut	Aki   	181 W 4th St,  between Barrow and Jones Sts,  West Village,  (212-989-5440) 	 Japanese 
TimeOut	Al Baraka	1613 Second Ave,  between 83rd and 84th Sts,  Upper East Side,  (212-744-2122) 
TimeOut	Al Baraka	Moroccan 	1613 Second Ave,  between 83rd and 84th Sts,  Upper East Side,  (212-744-2122) 
TimeOut	Al Baraka 	1613 Second Ave,  between 83rd and 84th Sts,  Upper East Side,  (212-744-2122) 
TimeOut	Al Baraka 	Moroccan 	1613 Second Ave,  between 83rd and 84th Sts,  Upper East Side,  (212-744-2122) 
TimeOut	Al Baraka   	1613 Second Ave,  between 83rd and 84th Sts,  Upper East Side,  (212-744-2122) 	 Moroccan 
TimeOut	Al Bustan	827 Third Ave,  between 50th and 51st Sts,  Midtown East,  (212-759-5933) 
TimeOut	Al Bustan	Middle Eastern 	827 Third Ave,  between 50th and 51st Sts,  Midtown East,  (212-759-5933) 
TimeOut	Al Bustan 	827 Third Ave,  between 50th and 51st Sts,  Midtown East,  (212-759-5933) 
TimeOut	Al Bustan 	Middle Eastern 	827 Third Ave,  between 50th and 51st Sts,  Midtown East,  (212-759-5933) 
TimeOut	Al Bustan   	827 Third Ave,  between 50th and 51st Sts,  Midtown East,  (212-759-5933) 	 Middle Eastern 
TimeOut	Al Diwan	210 Ave A,  at 13th St,  East Village,  (212-375-1300) 
TimeOut	Al Diwan	Middle Eastern 	210 Ave A,  at 13th St,  East Village,  (212-375-1300) 
TimeOut	Al Diwan 	210 Ave A,  at 13th St,  East Village,  (212-375-1300) 
TimeOut	Al Diwan 	Middle Eastern 	210 Ave A,  at 13th St,  East Village,  (212-375-1300) 
TimeOut	Al Diwan   	210 Ave A,  at 13th St,  East Village,  (212-375-1300) 	 Middle Eastern 
TimeOut	Alain Ducasse at the Essex House (CLOSED)	155 W 58th St,  between Sixth and Seventh Aves,  Midtown West,  (212-265-7300) 
TimeOut	Alain Ducasse at the Essex House (CLOSED)	French 	155 W 58th St,  between Sixth and Seventh Aves,  Midtown West,  (212-265-7300) 
TimeOut	Alain Ducasse at the Essex House (CLOSED) 	155 W 58th St,  between Sixth and Seventh Aves,  Midtown West,  (212-265-7300) 
TimeOut	Alain Ducasse at the Essex House (CLOSED) 	French 	155 W 58th St,  between Sixth and Seventh Aves,  Midtown West,  (212-265-7300) 
TimeOut	Alain Ducasse at the Essex House (CLOSED)   	155 W 58th St,  between Sixth and Seventh Aves,  Midtown West,  (212-265-7300) 	 French 
TimeOut	Alan’s Falafel	Cedar St,  at Broadway,  Financial District,  
TimeOut	Alan’s Falafel	Middle Eastern 	Cedar St,  at Broadway,  Financial District,  
TimeOut	Alan’s Falafel 	Cedar St,  at Broadway,  Financial District,  
TimeOut	Alan’s Falafel 	Middle Eastern 	Cedar St,  at Broadway,  Financial District,  
TimeOut	Alan’s Falafel   	Cedar St,  at Broadway,  Financial District,  	 Middle Eastern 
TimeOut	Alcala	342 E 46th St,  between First and Second Aves,  Midtown East,  (212-370-1866) 
TimeOut	Alcala	Spanish 	342 E 46th St,  between First and Second Aves,  Midtown East,  (212-370-1866) 
TimeOut	Alcala 	342 E 46th St,  between First and Second Aves,  Midtown East,  (212-370-1866) 
TimeOut	Alcala 	Spanish 	342 E 46th St,  between First and Second Aves,  Midtown East,  (212-370-1866) 
TimeOut	Alcala   	342 E 46th St,  between First and Second Aves,  Midtown East,  (212-370-1866) 	 Spanish 
TimeOut	Alexandra	455 Hudson St,  between Barrow and Morton Sts,  West Village,  (212-255-3838) 
TimeOut	Alexandra	American 	455 Hudson St,  between Barrow and Morton Sts,  West Village,  (212-255-3838) 
TimeOut	Alexandra 	455 Hudson St,  between Barrow and Morton Sts,  West Village,  (212-255-3838) 
TimeOut	Alexandra 	American 	455 Hudson St,  between Barrow and Morton Sts,  West Village,  (212-255-3838) 
TimeOut	Alexandra   	455 Hudson St,  between Barrow and Morton Sts,  West Village,  (212-255-3838) 	 American 
TimeOut	Alfama	551 Hudson St,  at Perry St,  West Village,  (212-645-2500) 
TimeOut	Alfama	Portuguese 	551 Hudson St,  at Perry St,  West Village,  (212-645-2500) 
TimeOut	Alfama 	551 Hudson St,  at Perry St,  West Village,  (212-645-2500) 
TimeOut	Alfama 	Portuguese 	551 Hudson St,  at Perry St,  West Village,  (212-645-2500) 
TimeOut	Alfama   	551 Hudson St,  at Perry St,  West Village,  (212-645-2500) 	 Portuguese 
TimeOut	Alfanoose	8 Maiden Lane,  between Broadway and Nassau Sts,  Financial District,  (212-528-4669) 
TimeOut	Alfanoose	Middle Eastern 	8 Maiden Lane,  between Broadway and Nassau Sts,  Financial District,  (212-528-4669) 
TimeOut	Alfanoose 	8 Maiden Lane,  between Broadway and Nassau Sts,  Financial District,  (212-528-4669) 
TimeOut	Alfanoose 	Middle Eastern 	8 Maiden Lane,  between Broadway and Nassau Sts,  Financial District,  (212-528-4669) 
TimeOut	Alfanoose   	8 Maiden Lane,  between Broadway and Nassau Sts,  Financial District,  (212-528-4669) 	 Middle Eastern 
TimeOut	Alfredo of Rome	4 W 49th St,  at Fifth Ave,  Midtown West,  (212-397-0100) 
TimeOut	Alfredo of Rome	Italian 	4 W 49th St,  at Fifth Ave,  Midtown West,  (212-397-0100) 
TimeOut	Alfredo of Rome 	4 W 49th St,  at Fifth Ave,  Midtown West,  (212-397-0100) 
TimeOut	Alfredo of Rome 	Italian 	4 W 49th St,  at Fifth Ave,  Midtown West,  (212-397-0100) 
TimeOut	Alfredo of Rome   	4 W 49th St,  at Fifth Ave,  Midtown West,  (212-397-0100) 	 Italian 
TimeOut	Algonquin Hotel	59 W 44th St,  between Fifth and Sixth Aves,  Midtown West,  (212-840-6800) 
TimeOut	Algonquin Hotel	American 	59 W 44th St,  between Fifth and Sixth Aves,  Midtown West,  (212-840-6800) 
TimeOut	Algonquin Hotel 	59 W 44th St,  between Fifth and Sixth Aves,  Midtown West,  (212-840-6800) 
TimeOut	Algonquin Hotel 	American 	59 W 44th St,  between Fifth and Sixth Aves,  Midtown West,  (212-840-6800) 
TimeOut	Algonquin Hotel   	59 W 44th St,  between Fifth and Sixth Aves,  Midtown West,  (212-840-6800) 	 American 
TimeOut	Ali Baba	212 E 34th St,  between Second and Third Aves,  Midtown East,  (212-683-9206) 
TimeOut	Ali Baba	Turkish 	212 E 34th St,  between Second and Third Aves,  Midtown East,  (212-683-9206) 
TimeOut	Ali Baba 	212 E 34th St,  between Second and Third Aves,  Midtown East,  (212-683-9206) 
TimeOut	Ali Baba 	Turkish 	212 E 34th St,  between Second and Third Aves,  Midtown East,  (212-683-9206) 
TimeOut	Ali Baba   	212 E 34th St,  between Second and Third Aves,  Midtown East,  (212-683-9206) 	 Turkish 
TimeOut	Alias	76 Clinton St,  at Rivington St,  Lower East Side,  (212-505-5011) 
TimeOut	Alias	American Creative 	76 Clinton St,  at Rivington St,  Lower East Side,  (212-505-5011) 
TimeOut	Alias 	76 Clinton St,  at Rivington St,  Lower East Side,  (212-505-5011) 
TimeOut	Alias 	American Creative 	76 Clinton St,  at Rivington St,  Lower East Side,  (212-505-5011) 
TimeOut	Alias   	76 Clinton St,  at Rivington St,  Lower East Side,  (212-505-5011) 	 American Creative 
TimeOut	Alice's Tea Cup Chapter II	156 E 64th Street,  between Third and Lexington Aves,  Upper East Side,  (212-486-9200) 
TimeOut	Alice's Tea Cup Chapter II	Cafés & diners 	156 E 64th Street,  between Third and Lexington Aves,  Upper East Side,  (212-486-9200) 
TimeOut	Alice's Tea Cup Chapter II 	156 E 64th Street,  between Third and Lexington Aves,  Upper East Side,  (212-486-9200) 
TimeOut	Alice's Tea Cup Chapter II 	Cafés & diners 	156 E 64th Street,  between Third and Lexington Aves,  Upper East Side,  (212-486-9200) 
TimeOut	Alice's Tea Cup Chapter II   	156 E 64th Street,  between Third and Lexington Aves,  Upper East Side,  (212-486-9200) 	 Cafés & diners 
TimeOut	Alice’s Tea Cup	102 W 73rd St,  at Columbus Ave,  Upper West Side,  (212-799-3006) 
TimeOut	Alice’s Tea Cup	220 E 81st St,  between Second and Third Aves ,  Upper East Side,  (212-734-4832) 
TimeOut	Alice’s Tea Cup	Cafés & diners 	102 W 73rd St,  at Columbus Ave,  Upper West Side,  (212-799-3006) 
TimeOut	Alice’s Tea Cup	Cafés & diners 	220 E 81st St,  between Second and Third Aves ,  Upper East Side,  (212-734-4832) 
TimeOut	Alice’s Tea Cup 	102 W 73rd St,  at Columbus Ave,  Upper West Side,  (212-799-3006) 
TimeOut	Alice’s Tea Cup 	220 E 81st St,  between Second and Third Aves ,  Upper East Side,  (212-734-4832) 
TimeOut	Alice’s Tea Cup 	Cafés & diners 	102 W 73rd St,  at Columbus Ave,  Upper West Side,  (212-799-3006) 
TimeOut	Alice’s Tea Cup 	Cafés & diners 	220 E 81st St,  between Second and Third Aves ,  Upper East Side,  (212-734-4832) 
TimeOut	Alice’s Tea Cup   	102 W 73rd St,  at Columbus Ave,  Upper West Side,  (212-799-3006) 	 Cafés & diners 
TimeOut	Alice’s Tea Cup   	220 E 81st St,  between Second and Third Aves ,  Upper East Side,  (212-734-4832) 	 Cafés & diners 
TimeOut	Allegretti	46 W 22nd St,  at Sixth Ave,  Gramercy/Flatiron,  (212-206-0555) 
TimeOut	Allegretti	French 	46 W 22nd St,  at Sixth Ave,  Gramercy/Flatiron,  (212-206-0555) 
TimeOut	Allegretti 	46 W 22nd St,  at Sixth Ave,  Gramercy/Flatiron,  (212-206-0555) 
TimeOut	Allegretti 	French 	46 W 22nd St,  at Sixth Ave,  Gramercy/Flatiron,  (212-206-0555) 
TimeOut	Allegretti   	46 W 22nd St,  at Sixth Ave,  Gramercy/Flatiron,  (212-206-0555) 	 French 
TimeOut	Allen & Delancey	115 Allen St,  at Delancey St,  Lower East Side,  (212-253-5400) 
TimeOut	Allen & Delancey	American Creative 	115 Allen St,  at Delancey St,  Lower East Side,  (212-253-5400) 
TimeOut	Allen & Delancey 	115 Allen St,  at Delancey St,  Lower East Side,  (212-253-5400) 
TimeOut	Allen & Delancey 	American Creative 	115 Allen St,  at Delancey St,  Lower East Side,  (212-253-5400) 
TimeOut	Allen & Delancey   	115 Allen St,  at Delancey St,  Lower East Side,  (212-253-5400) 	 American Creative 
TimeOut	Alloro	307 E 77th St,  between First and Second Aves,  Upper East Side,  (212-535-2866) 
TimeOut	Alloro	Italian 	307 E 77th St,  between First and Second Aves,  Upper East Side,  (212-535-2866) 
TimeOut	Alloro 	307 E 77th St,  between First and Second Aves,  Upper East Side,  (212-535-2866) 
TimeOut	Alloro 	Italian 	307 E 77th St,  between First and Second Aves,  Upper East Side,  (212-535-2866) 
TimeOut	Alloro   	307 E 77th St,  between First and Second Aves,  Upper East Side,  (212-535-2866) 	 Italian 
TimeOut	Alma Grill	134 E 48th St,  at Lexington Ave,  Midtown East,  (212-593-5900) 
TimeOut	Alma Grill	American Creative 	134 E 48th St,  at Lexington Ave,  Midtown East,  (212-593-5900) 
TimeOut	Alma Grill 	134 E 48th St,  at Lexington Ave,  Midtown East,  (212-593-5900) 
TimeOut	Alma Grill 	American Creative 	134 E 48th St,  at Lexington Ave,  Midtown East,  (212-593-5900) 
TimeOut	Alma Grill   	134 E 48th St,  at Lexington Ave,  Midtown East,  (212-593-5900) 	 American Creative 
TimeOut	Almond	12 E 22nd St,  between Broadway and Park Ave South,  Gramercy/Flatiron,  (212-228-7557) 
TimeOut	Almond	French 	12 E 22nd St,  between Broadway and Park Ave South,  Gramercy/Flatiron,  (212-228-7557) 
